Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
M. Casazola,CD Universitario,CD Universitario,RB,32,1827,0,0.41,1,1.18,Panama,8.08,6.85,58.27,1.72,42.86,0.25,0.35,0.3,3.84,5.52,1.03,6,0.3,0,0,1.58,0,0,0,0.02,0,0,9,0.44,22.22,0,0.05,2.66,38.89,1.03,42.86,3.99,44.44,0.69,1.43,0.34,19.7,2.66,1.18,29.8,73.39,13.6,69.2,3.4,92.75,8.47,77.33,3.79,40.26,20.35,37.15,0.06,0.79,0,0.05,0,0,0.34,4.58,61.29,2.41,51.02,0.3,33.33,0.44,0.99,8.18,73.49,0,,0,,0,0,0,0,,,0.25,,
Adán Henricks,Sporting San Miguelito,Sporting San Miguelito,"CF, RWF, RAMF",21,1803,4,4.51,1,1.01,Panama,5.99,6.49,58.46,5.29,35.85,0,0,0.1,2.2,3.37,1.85,3,0.15,1,0.05,2,0.2,4,0.2,0.23,0,0,42,2.1,38.1,9.524,0.05,1.1,27.27,2.35,36.17,10.38,28.85,3.04,1.25,0.05,9.28,1.55,1.25,14.28,72.38,2.45,61.22,3.29,90.91,4.14,75.9,0.65,23.08,16.5,19.33,0.05,0.75,0.05,0,0.05,100,0.25,1.7,61.76,0.85,47.06,0.1,50,0.75,0.4,1.6,75,0,,0,,0,0,0,0,,,0,,
A. Palmezano,UMECIT,UMECIT,"RB, RWB",26,1782,0,0.11,2,1.67,Colombia,5.51,5.35,59.43,0.56,18.18,0.15,0.23,0.2,2.17,3.29,1.36,4,0.2,1,0.05,1.57,0,0,0,0.01,0,0,4,0.2,0,0,0.1,1.97,33.33,1.46,62.07,5.1,56.44,0.3,0.96,0.2,21.77,1.06,1.92,30,83.33,12.07,78.66,4.6,96.7,9.39,83.33,4.29,61.18,20.25,37.35,0.08,0.71,0,0,0.05,0,0.45,3.84,72.37,1.92,42.11,0.2,50,0.25,0.76,7.12,80.85,0,,0,,0,0,0,0,,,0.4,,
R. Blackburn,San Francisco,San Francisco,CF,35,1779,12,9.22,1,0.62,Panama,1.87,1.11,63.64,6.73,51.88,0.05,0.08,0.05,1.11,1.76,0.71,5,0.25,0,0,1.92,0.61,11,0.56,0.47,4,0.2,65,3.29,53.85,18.462,0.05,0.1,0,0.3,50,6.63,29.77,3.49,0.1,0,8.45,1.52,1.72,12.95,80.08,2.33,58.7,4,93.67,4,81.01,0.61,50,14.54,14.65,0.03,0.61,0.1,0,0.05,0,0.15,1.42,46.43,0.56,63.64,0.05,0,0.56,0,0.96,57.89,0,,0,,0,0,0,0,,,0,,
K. Melgar,Alianza,Alianza,GK,32,1771,0,0,0,0,Panama,1.42,0.15,33.33,0.56,100,0.05,0.07,0,1.32,1.74,0,3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0,3.81,0.1,0.1,9.81,77.72,6.5,71.09,0,0,2.95,91.38,5.03,58.59,39.3,50.27,0,0,0,0,0,0,0,1.83,44.44,0.15,0,0,0,0,0,3.35,80.3,28,1.42,76,3.86,2,63.16,23.09,1.17,-4.91,-0.25,0,1.93,0.56
K. Bernal,Tauro,Tauro,LB,20,1752,1,0.73,1,0.28,Panama,9.14,8.17,64.78,2.41,55.32,0.1,0.15,0.21,3.75,5.32,1.54,5,0.26,0,0,1.49,0.05,1,0.05,0.04,0,0,5,0.26,20,20,0.05,1.59,25.81,1.23,75,5.24,43.14,0.46,1.08,0,23.63,1.7,1.13,33.44,81.26,11.82,72.17,5.6,91.74,11.56,84.89,4.06,56.96,19.86,37.41,0.01,0.51,0.1,0,0.1,100,0.15,4.21,73.17,1.8,31.43,0.57,27.27,0.51,0.41,7.55,73.47,0,,0,,0,0,0,0,,,0.46,,
M. Rodríguez,Alianza,Alianza,"LCMF, LCB, RCMF",27,1732,1,1.34,1,1.1,Panama,10.39,9.04,60.92,4.11,50.63,0.42,0.56,0.68,4.47,6,1.56,7,0.36,0,0,0.83,0.05,1,0.05,0.07,1,0.05,18,0.94,16.67,5.556,0.05,0.16,100,0.57,72.73,3.53,48.53,0.68,0.47,0.1,13.41,0.36,1.14,25.57,77.44,10.86,66.51,1.87,83.33,10.5,88.12,5.09,52.04,22.06,36.23,0.06,0.68,0,0.05,0.31,33.33,0.26,5.14,63.64,1.14,50,1.09,38.1,0.57,0.16,6.44,69.35,0,,0,,0,0,0,0,,,0.21,,
L. Asprilla,Tauro,Tauro,RB,24,1693,1,0.45,0,0.37,Panama,9.68,5.74,73.15,3.3,70.97,0.37,0.53,0.21,5.1,7.22,0.9,2,0.11,0,0,1.12,0.05,1,0.05,0.02,0,0,7,0.37,42.86,14.286,0,1.06,30,0.96,61.11,2.66,46,0.69,0.96,0,23.18,1.44,0.48,34.08,84.24,14.09,78.49,5.1,94.79,9.2,89.02,4.2,60.76,19.49,39.27,0.02,0.37,0,0,0.05,100,0.16,4.31,66.67,1.33,52,0.16,33.33,0.48,0.32,7.02,81.82,0,,0,,0,0,0,0,,,0.64,,
A. Caicedo,Independiente,Independiente,"LW, RW, LWF",26,1684,2,2.05,4,3.31,Panama,3.9,3.53,53.03,1.44,37.04,0.11,0.16,0,1.92,2.93,0.96,1,0.05,0,0,4.38,0.11,2,0.11,0.11,0,0,37,1.98,32.43,5.405,0.21,2.24,38.1,4.76,59.55,14.43,37.41,2.08,2.46,0.21,20.15,2.14,2.51,26.51,76.21,7.59,64.08,4.28,91.25,8.18,75.16,2.14,37.5,16.64,24.82,0.18,1.34,0.16,0,0.16,33.33,0.32,3.79,64.79,2.94,54.55,0.53,20,0.91,0.75,5.29,79.8,0,,0,,0,0,0,0,,,0.05,,
M. Camargo,San Francisco,San Francisco,"LCMF, LDMF",31,1668,4,3.76,0,1.48,Panama,7.99,9.44,51.43,2,37.84,0.38,0.58,0,2.75,4.25,3.45,9,0.49,0,0,3.88,0.22,4,0.22,0.2,0,0,36,1.94,36.11,11.111,0,1.78,42.42,4.59,52.94,13.92,44.19,2,1.89,0.22,26.33,1.08,2.05,39.17,78.24,12.84,67.65,5.45,91.09,14.95,82.67,5.02,49.46,19.77,38.33,0.08,0.86,0.05,0,0.05,0,0.32,8.04,67.79,2.59,45.83,0.86,25,0.81,0.54,6.69,79.03,0,,0,,0,0,0,0,,,0.05,,
