Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
J. Araujo,Celtic,Celtic,RB,24,846,1,0.85,0,1.27,United States,6.7,5.64,50.94,5,36.17,0.32,0.55,0.32,3.51,6.04,1.38,3,0.32,0,0,2.02,0.11,1,0.11,0.09,0,0,9,0.96,44.44,11.111,0,2.87,22.22,1.7,50,4.36,41.46,2.02,1.91,0.43,49.57,1.49,0.74,60.74,86.51,23.62,80.63,11.81,98.2,16.49,86.45,4.47,50,18.92,38.03,0.13,0.85,0.11,0.11,0.11,100,0.43,9.79,83.7,3.4,62.5,0.64,83.33,1.7,0.64,10.64,81,0,,0,,0,0,0,0,,,1.6,,
T. Čvančara,Celtic,Celtic,CF,25,488,2,4.17,2,0.37,Czech Republic,1.11,1.84,40,9.22,24,0.18,0.3,0,0.18,0.3,1.48,2,0.37,0,0,1.84,0.37,1,0.18,0.77,1,0.18,17,3.14,35.29,11.765,0.37,0.55,66.67,1.48,25,8.67,40.43,5.72,0.74,0.74,13.65,2.4,1.84,15.86,80.23,2.77,73.33,4.61,92,3.69,65,0.74,75,12.29,13.76,0.07,0.37,0,0,0,0,0.55,0.74,75,0.74,50,0,0,0.92,0.37,0.92,60,0,,0,,0,0,0,0,,,0,,
A. Trusty,Celtic,Celtic,"RCB, CB",27,1784,0,1.24,0,0.01,United States,6.51,3.23,68.75,5.7,67.26,0.05,0.09,0.61,4.24,7.52,0.66,1,0.05,2,0.1,0.2,0,0,0,0.06,0,0,8,0.4,12.5,0,0,0.05,100,0.1,100,0.71,35.71,0.61,1.77,0.05,58.17,0.35,0.25,75.72,94.27,27.04,88.62,3.43,97.06,37.89,98.54,3.18,57.14,19.2,35.77,0,0.05,0.05,0,0,0,0,9.64,88.48,0.25,40,0.15,66.67,0.2,0,8.68,76.16,0,,0,,0,0,0,0,,,2.72,,
D. Maeda,Celtic,Celtic,"CF, LWF, RWF",28,2459,7,11.21,4,4.03,Japan,4.58,4.25,52.59,2.23,34.43,0.11,0.19,0.04,2.23,3.94,1.5,3,0.11,0,0,2.38,0.26,7,0.26,0.41,3,0.11,49,1.79,44.9,14.286,0.15,1.83,34,1.72,55.32,6.08,31.93,5.16,0.92,0.11,19.03,1.83,0.7,21.48,81.09,2.2,73.33,8.13,92.34,6.08,75.3,0.66,61.11,15.05,13.71,0.15,1.02,0.04,0,0.04,0,0.62,0.66,61.11,1.57,51.16,0.07,50,0.92,0.51,1.87,84.31,0,,0,,0,0,0,0,,,0,,
J. Tavernier,Rangers,Rangers,"RB, RCB",34,2286,8,6.08,4,6.2,England,7.64,6.34,63.35,3.54,55.56,0.12,0.2,0.08,3.5,5.87,1.26,4,0.16,0,0,2.91,0.31,4,0.16,0.24,1,0.04,42,1.65,52.38,19.048,0.16,3.27,46.99,1.06,44.44,3.58,35.16,1.1,1.42,0.47,43.07,0.87,0.83,56.14,81.84,21.3,72.27,8.39,96.24,17.8,84.51,7.52,46.6,20.54,35.18,0.24,2.2,0.16,0,0.04,100,0.55,9.37,66.39,4.61,53.85,1.02,42.31,1.34,1.57,11.81,77.33,0,,0,,0,0,0,0,,,1.65,,
N. Raskin,Rangers,Rangers,"RDMF, DMF, LDMF",25,2752,4,3.75,4,3.5,Belgium,6.8,5.92,56.91,3.47,45.28,0.13,0.22,0.29,3.3,5.58,1.8,6,0.2,0,0,1.9,0.13,4,0.13,0.12,2,0.07,32,1.05,31.25,12.5,0.13,1.28,20.51,1.83,64.29,5.49,58.93,1.83,2.19,0.2,41.11,0.2,1.6,56.51,85.88,19.23,75.17,7.33,98.21,20.8,91.19,4.61,56.03,17.93,36.08,0.11,0.82,0,0.03,0.2,66.67,0.46,9.55,79.45,2.52,51.95,0.72,50,1.18,0.29,9.16,79.64,0,,0,,0,0,0,0,,,1.31,,
Danilo,NEC,Rangers,"CF, AMF",26,628,3,2.45,0,0.18,Brazil,2.15,1.43,50,3.01,38.1,0,0,0,1.43,2.86,0.43,0,0,0,0,2.01,0.43,3,0.43,0.35,1,0.14,17,2.44,35.29,17.647,0,0.29,50,1.86,53.85,5.73,32.5,3.58,1,0,14.62,0.72,0.29,20.35,77.46,4.73,57.58,4.3,83.33,6.88,85.42,0.43,66.67,14.07,9.61,0.03,0.57,0,0,0,0,0.43,2.15,73.33,1.58,45.45,0,0,0.72,0,2.15,60,0,,0,,0,0,0,0,,,0.14,,
C. Dessers,Panathinaikos,Rangers,CF,31,152,0,0.03,0,0,Belgium,2.37,1.78,33.33,2.96,20,0,0,0,1.78,3.75,2.37,1,0.59,0,0,0.59,0,0,0,0.02,0,0,1,0.59,0,0,0,0,0,1.78,33.33,5.92,30,7.11,0,0,11.25,0,1.18,13.03,63.64,1.18,0,6.51,72.73,2.37,75,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0.59,0,0,,0,,0,0,0,0,,,0,,
N. Bajrami,Rangers,Rangers,"LAMF, RAMF",27,388,1,1.13,1,0.61,Switzerland,4.64,3.71,75,0.93,25,0,0,0,1.86,3.58,0.46,2,0.46,0,0,4.41,0.23,0,0,0.26,0,0,12,2.78,25,8.333,0.23,5.8,28,4.41,47.37,9.97,46.51,5.34,3.94,0.7,32.71,2.09,1.62,44.3,69.63,9.97,44.19,8.35,91.67,16.24,68.57,2.32,20,15.56,17.69,0.14,1.39,0.23,0,0,0,0.7,5.1,45.45,6.26,40.74,0.23,0,1.16,1.62,7.19,87.1,0,,0,,0,0,0,0,,,0,,
J. Adamu,Celtic,Celtic,CF,24,150,0,0.37,0,0,Nigeria,1.2,1.8,33.33,10.2,23.53,0,0,0,0.6,1.15,2.4,0,0,0,0,1.2,0,0,0,0.22,0,0,2,1.2,50,0,0,0.6,100,0.6,0,6.6,18.18,3.6,0,0,10.2,0.6,1.2,18.6,90.32,2.4,50,10.2,100,2.4,100,0,0,15.24,0,0,0,0,0,0,0,0,0.6,100,0,0,0,0,0.6,0.6,0,0,0,,0,,0,0,0,0,,,0.6,,
L. Shankland,Hearts,Hearts,CF,30,2095,12,9.66,3,2.57,Scotland,3.52,2.45,56.14,4.9,39.47,0,0,0.13,2.15,3.16,0.69,0,0,0,0,2.15,0.52,10,0.43,0.41,2,0.09,64,2.75,45.31,18.75,0.13,1.29,23.33,1.03,37.5,6.74,25.48,4.04,0.69,0.17,19.63,0.77,0.6,26.59,72.37,8.51,57.07,5.58,89.23,7.17,75.45,1.68,64.1,15.65,27.55,0.11,0.77,0,0,0.34,62.5,0.52,3.87,61.11,2.11,53.06,0.56,61.54,1.29,0.34,3.57,77.11,0,,0,,0,0,0,0,,,0,,
M. Diomandé,Rangers,Rangers,"LCMF, LDMF, AMF",24,1484,1,1.92,2,0.99,Côte d'Ivoire,7.22,5.76,65.26,1.58,42.31,0.36,0.61,0.06,3.09,5.22,1.39,4,0.24,0,0,2.37,0.06,1,0.06,0.12,0,0,32,1.94,18.75,3.125,0.12,1.82,20,2.91,52.08,7.64,38.89,1.94,1.21,0.3,28.75,0.42,1.52,39.42,83.38,11.4,73.94,7.64,98.41,12.31,82.76,1.27,52.38,15.96,14.04,0.06,0.61,0.06,0,0.24,50,0.24,3.76,70.97,2.79,34.78,0.24,50,0.97,0.3,4.49,75.68,0,,0,,0,0,0,0,,,0.18,,
