Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
R. Peralta,Deportivo La Guaira,Deportivo La Guaira,"LCB, CB",31,2322,2,2.48,0,0.21,Panama,7.25,4.22,73.39,3.26,53.57,0.04,0.06,0.47,4.11,6.08,0.47,2,0.08,1,0.04,0.74,0.08,1,0.04,0.1,0,0,29,1.12,44.83,6.897,0,0.23,66.67,0.12,66.67,1.05,59.26,0.23,0.47,0,36.36,0.54,0.58,51.05,90.21,22.09,82.98,3.45,97.75,21.01,96.68,6.28,63.58,22.02,39.77,0.01,0.08,0.04,0,0,0,0,6.47,74.85,0.7,61.11,0.16,50,0.27,0.16,8.76,76.55,0,,0,,0,0,0,0,,,2.05,,
G. González,Carabobo,Carabobo,RCMF,29,2317,2,1.83,2,3.6,Venezuela,5.9,5.87,64.9,2.21,42.11,0.12,0.16,0.04,1.98,2.75,1.09,8,0.31,1,0.04,2.25,0.08,2,0.08,0.07,0,0,36,1.4,22.22,5.556,0.08,1.32,38.24,2.14,58.18,6.72,46.82,1.01,1.59,0.27,25.99,0.74,1.67,37.37,81.7,13.36,70.06,5.01,98.45,13.52,87.64,4.62,60.5,18.97,35.26,0.14,1.13,0.04,0,0.39,50,0.43,7.54,73.71,2.87,54.05,0.93,37.5,1.01,0.47,6.21,82.5,0,,0,,0,0,0,0,,,0.04,,
A. Simarra,UCV,UCV,LCB,25,2285,2,1.01,0,0.01,Colombia,8.19,4.18,67.92,3.66,53.76,0.04,0.06,0.63,5.32,7.46,1.26,5,0.2,0,0,0.32,0.08,2,0.08,0.04,1,0.04,8,0.32,37.5,25,0,0.12,33.33,0.16,100,1.06,44.44,0.55,0.47,0,22.57,0.16,0.32,34.03,85.76,15.72,77.44,2.44,93.55,12.72,94.12,4.84,49.59,22.23,37.92,0,0.04,0,0,0,0,0,3.74,68.42,0.35,44.44,0.04,100,0.16,0.04,6.46,67.68,0,,0,,0,0,0,0,,,1.89,,
C. Rivero,Deportivo La Guaira,Deportivo La Guaira,RCB,32,2267,0,0.9,0,0.38,Venezuela,7.98,4.53,73.68,3.81,67.71,0.36,0.52,0.6,4.29,6.28,0.67,2,0.08,0,0,0.32,0,0,0,0.04,0,0,7,0.28,42.86,0,0,0.2,40,0.12,100,1.15,31.03,0.44,0.48,0,32.63,0.36,0.28,47.76,87.03,20.68,78.69,3.06,96.1,20.29,94.13,6.31,51.57,21.33,38.45,0.02,0.16,0,0.04,0,0,0.04,4.53,66.67,0.56,35.71,0.24,16.67,0.12,0.04,7.98,68.16,0,,0,,0,0,0,0,,,1.79,,
F. Solé,UCV,UCV,"LCMF, RCMF, LDMF",28,2249,1,0.72,4,4.32,Argentina,8.48,6.88,56.98,0.84,42.86,0.64,0.89,0.28,3.92,5.44,1.76,11,0.44,1,0.04,1.28,0.04,1,0.04,0.03,0,0,16,0.64,31.25,6.25,0.16,1.52,42.11,0.6,66.67,3.04,38.16,0.36,0.96,0.08,31.65,0.4,0.72,45.94,83.71,16.01,72.75,6.04,96.03,17.65,89.12,6.24,58.33,20.69,39.52,0.17,1.44,0.04,0,0.12,33.33,0.28,9.6,69.58,3.08,55.84,0.48,25,1.04,0.64,8.52,81.22,0,,0,,0,0,0,0,,,0.6,,
J. Meza,Deportivo La Guaira,Deportivo La Guaira,CF,34,2244,11,10.6,0,0.95,Venezuela,3.89,4.45,62.16,1.44,13.89,0.04,0.06,0.08,1.08,1.59,1.36,5,0.2,0,0,2.93,0.44,9,0.36,0.43,0,0,69,2.77,42.03,15.942,0,1.36,35.29,3.05,42.11,9.63,29.58,2.65,1.36,0.4,11.31,2.09,1.08,16.52,82.77,2.49,74.19,6.42,93.75,4.41,76.36,0.72,55.56,16.48,16.67,0.04,0.48,0,0,0,0,0.12,0.76,63.16,1.32,48.48,0,0,0.44,0.48,1.84,73.91,0,,0,,0,0,0,0,,,0.04,,
R. Rosales,Deportivo Táchira,Deportivo Táchira,"LB, RB",36,2204,2,2.28,2,2.48,Venezuela,8.29,7.43,57.14,1.88,52.17,0.29,0.43,0.2,3.76,5.61,1.76,7,0.29,0,0,2.04,0.08,2,0.08,0.09,0,0,42,1.72,19.05,4.762,0.08,2.94,31.94,1.31,53.13,3.8,38.71,1.55,1.23,0.04,28.54,2.21,1.02,37.81,80.35,13.39,72.56,5.43,94.74,13.43,82.07,6.13,64,20.74,33.62,0.1,0.82,0.08,0.04,0.12,66.67,0.29,4.9,70,3.35,42.68,0.45,45.45,0.82,0.98,8.66,75,0,,0,,0,0,0,0,,,0.33,,
J. Lovera,Anzoátegui FC,Anzoátegui FC,RB,26,2181,1,1.82,2,2.58,Venezuela,7.68,6.11,60.14,1.49,44.44,0.29,0.38,0.08,3.71,4.92,0.74,7,0.29,0,0,1.82,0.04,1,0.04,0.07,0,0,33,1.36,12.12,3.03,0.08,2.89,30,1.53,45.95,4.99,44.63,1.69,1.24,0.37,22.94,2.39,1.57,30.99,79.36,9.74,71.61,5.57,95.56,10.56,81.64,2.85,62.32,18.59,32.38,0.11,0.99,0,0.04,0.17,50,0.33,3.26,70.89,2.52,47.54,0.21,60,0.62,0.87,6.48,73.89,0,,0,,0,0,0,0,,,0.78,,
J. Soto,Portuguesa,Portuguesa,"LDMF, LCMF, RDMF",31,2175,0,0.17,0,0.12,Venezuela,8.23,6.41,57.42,2.36,49.12,0.12,0.18,0.29,4.43,6.59,1.32,6,0.25,0,0,0.21,0,0,0,0.01,0,0,3,0.12,0,0,0,0.41,20,0.33,37.5,2.94,45.07,0.21,0.58,0.08,25.66,0.37,1.28,37.86,89.07,10.68,78.68,6.08,95.92,15.68,93.4,3.23,65.38,18.28,33.14,0,0.21,0.04,0,0.04,0,0.12,4.43,78.5,0.62,33.33,0.17,50,0.04,0.08,4.8,77.59,0,,0,,0,0,0,0,,,0.25,,
J. Silgado,Anzoátegui FC,Anzoátegui FC,LB,26,2139,1,0.67,1,2.43,Colombia,8.37,6.52,64.52,3.37,62.5,0.25,0.34,0.17,3.91,5.21,1.05,1,0.04,0,0,2.27,0.04,1,0.04,0.03,0,0,11,0.46,36.36,9.091,0.04,3.62,40.7,1.18,53.57,3.2,47.37,1.09,1.6,0.25,21.46,1.51,1.01,31.73,77.72,13.63,72.22,4.63,98.18,8.79,75.6,4.59,59.63,20.13,31.92,0.1,0.97,0,0,0.08,0,0.34,4.92,67.52,3.37,50,0.38,44.44,0.55,1.6,8.08,75.52,0,,0,,0,0,0,0,,,0.42,,
