Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Sidimar,Athletic Club,Athletic Club,"LCB, RCB",33,2344,1,0.28,0,0,Brazil,6.34,3.76,69.39,4.03,64.76,0.12,0.16,0.84,3.61,5.13,0.88,4,0.15,0,0,0.08,0.04,1,0.04,0.01,1,0.04,6,0.23,16.67,16.667,0,0.04,0,0.04,100,0.65,47.06,0.46,0.5,0,27.22,0.35,0.5,38.13,90.63,13.17,81.34,2.15,100,19.51,97.24,4.07,59.43,20.59,31.56,0,0,0.04,0,0,0,0,2.76,72.22,0.08,100,0.08,100,0.08,0,5.95,70.32,0,,0,,0,0,0,0,,,1.73,,
Rodrigo,Criciúma,Criciúma,"CB, RCB",38,2296,3,2.39,0,0.14,Brazil,8.38,3.16,62.34,6.25,60.53,0.08,0.12,0.99,6.33,9.13,0.95,3,0.12,0,0,0.41,0.12,3,0.12,0.1,1,0.04,15,0.62,33.33,20,0,0.08,0,0.49,41.67,1.68,43.9,0.82,0.86,0.04,22.6,0.21,0.21,38.88,85.52,14.05,72.51,2.14,90.38,18.95,94.79,5.75,58.57,21.54,40.73,0.01,0.21,0,0.04,0.04,0,0.04,5.63,62.77,0.78,21.05,0.49,8.33,0.25,0,6.16,68.67,0,,0,,0,0,0,0,,,0.86,,
Matheus Ribeiro,CRB,CRB,"LB, RB",32,2290,0,1.01,1,0.92,Brazil,6.84,5.93,62.25,1.1,42.86,0.28,0.4,0.35,2.87,4.17,0.83,1,0.04,0,0,2.24,0,0,0,0.04,0,0,16,0.63,31.25,0,0.04,3.1,35.44,1.41,61.11,3.14,41.25,0.94,1.65,0.04,29.48,1.1,0.35,38.04,85.43,12.46,77.6,7.39,97.34,12.38,86.35,2.95,53.33,20.06,32.81,0.04,0.59,0.04,0.04,0.12,66.67,0.28,3.69,74.47,2.2,48.21,0.08,50,0.28,0.98,5.74,78.77,0,,0,,0,0,0,0,,,0.28,,
Bruno Matias,Chapecoense,Chapecoense,"LCMF, RCMF, DMF",26,2244,0,0.6,0,0.29,Brazil,5.9,5.21,59.23,0.76,47.37,0.2,0.26,0.32,2.61,3.39,0.84,3,0.12,1,0.04,0.28,0,0,0,0.02,0,0,14,0.56,14.29,0,0,0.12,33.33,0.36,44.44,1.93,58.33,0.28,0.44,0,28.07,0.28,0.92,35.94,90.29,9.34,78.54,6.18,96.1,15.8,94.92,2.97,51.35,19.34,38.19,0.01,0.32,0,0,0.04,0,0,5.05,75.4,0.52,23.08,0.12,0,0.12,0.04,4.29,76.64,0,,0,,0,0,0,0,,,0.48,,
Higor Meritão,CRB,CRB,"DMF, LDMF",31,2239,1,2.33,0,0.65,Brazil,8.6,8.16,45.32,2.69,52.24,0.12,0.17,0.52,4.78,6.91,2.21,4,0.16,0,0,0.84,0.04,1,0.04,0.09,0,0,39,1.57,12.82,2.564,0,0.28,42.86,1.09,44.44,3.66,40.66,0.96,1.25,0,33.08,0.4,0.68,44.94,89.53,12.54,78.85,6.43,95.63,18.97,94.28,2.17,64.81,17.82,33.1,0.03,0.56,0,0.04,0.12,33.33,0.04,7.07,78.98,0.92,47.83,0.4,40,0.36,0.08,5.67,73.76,0,,0,,0,0,0,0,,,0.8,,
Elias,Operário PR,Operário PR,GK,30,2236,0,0,0,0,Brazil,1.93,0,0,0.32,100,0,0,0,1.93,3.04,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0,0,0,9.46,0.08,0.2,16.62,85.71,10.14,77.78,0,0,5.8,98.61,6.76,67.86,32.52,49.2,0,0,0,0,0,0,0,1.65,51.22,0.12,0,0.08,0,0,0,5.11,78.74,21,0.85,72,2.9,9,70.83,19.32,0.78,-1.68,-0.068,0,1.13,0.32
Elias,Vila Nova,Vila Nova,RB,26,2235,1,0.61,0,0.69,Brazil,9.34,7.49,66.13,4.51,51.79,0.32,0.44,0.32,4.07,5.5,1.53,5,0.2,1,0.04,1.73,0.04,1,0.04,0.02,0,0,18,0.72,27.78,5.556,0,3.02,32,1.33,42.42,4.47,37.84,0.64,1.57,0.4,18.16,1.77,0.85,27.42,65.49,12.2,53.47,4.43,90.91,6.77,68.45,4.71,41.03,20.33,34.47,0.03,0.4,0,0.04,0.08,0,0.24,4.23,57.14,2.58,34.38,0.36,11.11,0.28,0.77,6.52,64.2,0,,0,,0,0,0,0,,,0.2,,
Sánchez,Volta Redonda,Volta Redonda,LB,29,2225,1,3.91,1,1.51,Brazil,5.58,3.76,61.29,3.11,55.84,0.16,0.24,0.2,3.11,4.57,0.93,4,0.16,0,0,2.87,0.04,1,0.04,0.16,0,0,35,1.42,25.71,2.857,0.04,4.41,34.86,1.82,53.33,3.88,42.71,2.22,1.86,0.24,26.7,2.27,0.61,35.03,74.6,12.86,67.61,5.22,93.8,11.73,76.21,4.33,54.21,21.11,32.61,0.06,0.73,0.04,0,0.08,0,0.36,3.24,63.75,3.52,41.38,0.57,28.57,0.36,1.42,7.81,68.39,0,,0,,0,0,0,0,,,0.08,,
Luciano Castán,Criciúma,Criciúma,LCB,35,2214,0,0.6,0,0.06,Brazil,7.69,4.7,62.73,4.53,61.32,0.13,0.18,0.6,4.61,6.61,1.58,8,0.33,0,0,0.38,0,0,0,0.03,0,0,6,0.26,33.33,0,0,0.21,20,0.3,85.71,1.54,41.67,0.56,0.56,0,26.47,0.64,0.47,42.61,84.17,22.29,77.39,2.01,97.87,14.39,94.07,8.67,60.59,22.05,37.6,0,0.13,0.04,0.04,0,0,0.09,7.13,65.87,0.9,47.62,0.56,30.77,0.38,0.04,9.61,73.78,0,,0,,0,0,0,0,,,0.94,,
Airton,Grêmio Novorizontino,Grêmio Novorizontino,GK,31,2209,0,0,0,0.58,Brazil,1.22,0.04,0,0.61,100,0,0,0,1.22,1.72,0,2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,7.25,0.2,0.16,14.3,89.74,7.01,80.81,0.04,100,6.8,98.2,4.32,68.87,30.44,48.75,0.02,0.04,0,0,0,0,0.04,0.98,50,0.08,50,0.16,25,0.04,0,2.81,82.61,20,0.81,104,4.24,9,80.77,27.14,1.11,7.14,0.291,0,1.91,0.61
