Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Hyun-Moo Kang,Seoul,Seoul,GK,30,2571,0,0,0,0,Korea Republic,1.19,0.07,100,0.42,83.33,0.04,0.05,0,1.09,1.46,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0,0,0,14.46,0.46,0.07,20.62,85.91,8.68,70.16,0,0,10.96,97.44,5.99,54.39,28.47,47.29,0,0,0,0,0,0,0,1.26,33.33,0.14,0,0.11,33.33,0,0,4.1,60.68,31,1.09,81,2.84,9,61.73,21.99,0.77,-9.01,-0.315,0,1.19,0.42
Jun-Su Ahn,Suwon,Suwon,GK,27,2545,0,0,0,0,Korea Republic,0.92,0.11,33.33,0.46,92.31,0,0,0,0.88,1.09,0.04,4,0.14,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0.25,71.43,0,0.04,0,11.6,0.14,0.18,17.5,84.24,10.57,77.59,0,0,6.26,97.18,8.38,71.73,36.37,50.58,0,0,0,0,0,0,0,3.68,63.46,0.32,33.33,0.18,40,0.11,0,6.4,80.66,37,1.31,110,3.89,4,66.36,32.19,1.14,-4.81,-0.17,0,1.03,0.46
Kim Da-Sol,Anyang,Anyang,GK,36,2532,0,0,0,0,Korea Republic,1.11,0.07,0,0.33,77.78,0.04,0.04,0,1.07,1.27,0.04,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.07,50,0,0,0,8.89,0.11,0.15,14.52,77.81,9.63,70.77,0,0,4.41,94.12,7.23,59.49,36.42,49.17,0,0,0,0,0,0,0,1.78,47.92,0.07,50,0.11,0,0.04,0,5.89,69.81,33,1.22,113,4.19,3,70.8,33.58,1.24,0.58,0.021,0,1.78,0.33
Hwang In-Jae,Pohang Steelers,Pohang Steelers,GK,31,2529,0,0,0,0.01,Korea Republic,0.89,0.11,100,0.46,53.85,0,0,0,0.78,1.04,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0,0,0,14.2,0.21,0.11,19.89,81.57,13.06,73.3,0,0,6.19,97.7,10.28,66.78,36.68,49.63,0,0.04,0,0.04,0,0,0,2.67,53.33,0.18,0,0,0,0,0,8.22,77.49,25,0.89,103,3.67,8,75.73,32.82,1.17,7.82,0.278,0,1.71,0.46
Kim Young-Gwon,Ulsan Hyundai,Ulsan Hyundai,"LCB, CB",35,2522,0,0.37,1,1.47,Korea Republic,7.74,4.32,75.21,2.75,68.83,0.07,0.11,0.61,4.43,6.93,0.39,3,0.11,0,0,0.29,0,0,0,0.01,0,0,5,0.18,0,0,0.04,0.21,66.67,0.18,60,0.71,55,0.32,1.11,0,41.68,0.21,0.46,58.63,87.16,26.48,79.78,3.78,95.28,23.62,93.05,8.17,53.28,21.3,38.52,0.05,0.39,0,0.04,0.11,33.33,0.14,10.24,72.47,1.5,45.24,0.79,36.36,0.54,0.14,13.03,76.71,0,,0,,0,0,0,0,,,2.18,,
Bong-Soo Kim,Daejeon Citizen,Daejeon Citizen,"RCMF, RDMF",25,2516,0,0.98,1,1.12,Korea Republic,9.52,6.62,74.05,1.72,41.67,0.14,0.18,0.39,4.47,5.47,0.61,0,0,0,0,0.64,0,0,0,0.04,0,0,8,0.29,37.5,0,0.04,0.64,38.89,0.43,58.33,3.93,37.27,0.36,1.4,0.14,36.67,0.25,0.86,50.97,89.33,16.56,82.51,7.3,94.12,17.38,94.03,2.68,60,16.15,29.72,0.04,0.54,0.07,0,0.07,50,0.29,7.44,85.1,1.29,50,0.54,33.33,0.47,0.29,7.26,80.3,0,,0,,0,0,0,0,,,0.82,,
Chang-Yong Lee,Anyang,Anyang,"RCB, CB, LCB",35,2514,0,0.4,0,0,Korea Republic,7.73,4.65,67.69,3.58,55,0.18,0.22,0.75,4.4,5.36,0.72,2,0.07,0,0,0.14,0,0,0,0.01,0,0,5,0.18,20,0,0,0.25,28.57,0.14,25,1.07,46.67,0.43,0.47,0.04,25.13,0.25,0.32,36.66,87.79,13.46,76.6,3.4,95.79,15.93,95.06,3.94,56.36,19.88,32.34,0,0,0,0,0,0,0,3.44,71.88,0.47,46.15,0.11,33.33,0.18,0.07,5.55,64.52,0,,0,,0,0,0,0,,,2.43,,
T. Oude Kotte,Anyang,Anyang,"LCB, LB",29,2514,3,1.16,1,0.42,Netherlands,6.44,4.12,73.04,2.11,52.54,0.14,0.17,0.36,3.29,3.97,0.5,5,0.18,0,0,1.04,0.11,3,0.11,0.04,1,0.04,12,0.43,58.33,25,0.04,0.79,36.36,0.64,66.67,2.47,44.93,0.75,1.11,0,23.31,0.86,0.21,35.37,82.19,13.35,69.97,4.55,92.91,12.14,89.68,4.37,50.82,18.89,34.39,0.02,0.36,0.04,0,0.14,50,0.21,5.23,69.18,1.11,35.48,0.47,46.15,0.29,0.25,7.09,67.68,0,,0,,0,0,0,0,,,1.18,,
Dong-Jun Kim,Jeju SK,Jeju SK,GK,30,2501,0,0,0,0,Korea Republic,1.8,0.04,100,0.36,80,0,0,0,1.76,2.32,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,66.67,0,0,0,11.73,0.43,0.25,18.89,85.52,10.18,78.09,0,0,7.99,95.5,6.01,64.07,31.53,46.53,0,0,0,0,0,0,0,1.84,47.06,0.25,28.57,0.07,50,0.07,0,4.53,71.43,31,1.12,131,4.71,7,76.34,37.43,1.35,6.43,0.231,0,1.55,0.36
Lee Dong-Gyeong,Gimcheon Sangmu,Gimcheon Sangmu,"CF, RW",27,2483,9,9.76,7,7.8,Korea Republic,4.49,4.39,52.89,1.41,17.95,0.18,0.23,0.07,1.99,2.54,1.05,0,0,0,0,3.73,0.33,8,0.29,0.35,0,0,91,3.3,40.66,9.89,0.25,2.21,32.79,3.73,37.86,7.21,31.16,3.26,1.3,0.33,24.1,1.27,0.33,28.89,77.29,9.39,68.34,5.33,95.92,8.77,75.21,2.21,57.38,17.93,31.84,0.28,2.32,0.04,0,0.58,43.75,0.83,4.24,76.92,3.81,50.48,1.01,42.86,1.74,0.72,4.71,89.23,0,,0,,0,0,0,0,,,0.04,,
Chang-Geun Lee,Daejeon Citizen,Daejeon Citizen,GK,31,2459,0,0,0,0,Korea Republic,1.28,0.11,100,0.59,75,0,0,0,1.17,1.49,0,4,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,80,0,0,0,17.28,0.55,0.18,23.2,88.01,12.52,78.95,0,0,9.92,98.89,9.81,73.88,34.7,51.09,0,0,0,0,0,0,0.04,2.85,62.82,0.04,0,0.15,50,0,0,7.76,86.79,28,1.02,115,4.21,6,75.65,30.63,1.12,2.63,0.096,0,1.39,0.59
Choi Jun,Seoul,Seoul,RB,26,2448,1,0.56,1,0.67,Korea Republic,8.57,6.21,62.13,1.91,30.77,0.04,0.05,0.29,4.67,6.33,1.03,5,0.18,0,0,1.99,0.04,1,0.04,0.02,0,0,13,0.48,38.46,7.692,0.04,2.43,39.39,1.29,65.71,4.08,44.14,0.77,1.36,0.26,28.93,2.32,0.74,39.23,82.29,15.11,73.72,6.8,96.22,11.95,85.23,4.93,52.99,18.98,31.89,0.02,0.37,0,0,0.04,0,0.26,4.74,67.44,2.76,54.67,0.59,37.5,0.63,0.96,8.53,79.31,0,,0,,0,0,0,0,,,0.88,,
Hwang Jae-Won,Daegu,Daegu,"RB, RWB",23,2435,0,0.35,1,3.07,Korea Republic,7.5,6.17,65.87,2,40.74,0.33,0.44,0.15,3.1,4.15,0.67,1,0.04,0,0,2.4,0,0,0,0.01,0,0,7,0.26,28.57,0,0.04,3.55,43.75,1.37,54.05,4.07,36.36,0.63,1.52,0.18,33.52,1.4,0.52,46.42,83.12,11.46,71.29,9.91,95.9,15.41,80.58,5.06,59.12,18.67,36.47,0.11,1.22,0.04,0.07,0.07,50,0.37,5.25,77.46,3.36,43.96,0.18,40,0.63,1.33,8.28,75.89,0,,0,,0,0,0,0,,,0.85,,
