Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
I. Sušak,Slaven Belupo,Slaven Belupo,GK,27,3118,0,0,0,0,Croatia,1.36,0.03,100,0.29,100,0,0,0,1.33,1.77,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.14,60,0,0.03,0,11.78,0.26,0.23,18.21,82.88,10.1,70.86,0.03,100,7.53,97.7,6.75,59.4,32.53,46.66,0,0,0,0,0,0,0,2.08,54.17,0.2,14.29,0.17,16.67,0,0,5.11,71.75,37,1.07,134,3.87,9,72.39,39.14,1.13,2.14,0.062,0.03,1.15,0.29
D. Maresić,Istra 1961,Istra 1961,"LCB, CB, LDMF",25,3115,3,4.45,0,1.32,Austria,9.56,7.43,64.98,3.21,46.85,0.78,1.02,0.38,3.96,5.18,1.5,9,0.26,0,0,0.72,0.09,1,0.03,0.13,0,0,25,0.72,32,12,0,0.38,38.46,0.49,52.94,3,50.96,0.49,1.88,0.06,33.92,0.55,1.1,50.79,81.85,24.7,71.7,3.12,92.59,17.6,92.12,9.97,51.88,22.02,40.46,0.04,0.32,0,0.09,0.14,60,0.09,10.08,61.32,1.53,41.51,1.01,40,0.55,0.14,12.31,72.3,0,,0,,0,0,0,0,,,0.66,,
D. Petrovič,Rijeka,Rijeka,"RDMF, RCMF, LDMF",27,3095,1,1.27,3,1.04,Slovenia,7.12,5.82,53.5,2.33,43.75,0.12,0.15,0.32,3.9,5.11,1.69,6,0.17,0,0,0.44,0.03,1,0.03,0.04,0,0,14,0.41,21.43,7.143,0.09,0.44,26.67,0.38,61.54,1.98,41.18,0.81,0.73,0.06,17.62,0.17,0.79,29.49,81.46,10.06,65.03,5.29,96.15,11.02,89.18,4.16,53.85,20.07,32.7,0.03,0.32,0.12,0,0.03,0,0.15,4.86,63.47,1.6,47.27,0.49,35.29,0.73,0.15,4.86,76.05,0,,0,,0,0,0,0,,,0.93,,
F. Uremović,Hajduk Split,Hajduk Split,RCB,28,3079,2,1.27,0,0.18,Croatia,9.59,6.84,71.37,4.82,70.3,0.32,0.46,0.53,4.38,6.33,1.4,10,0.29,0,0,0.5,0.06,2,0.06,0.04,0,0,8,0.23,37.5,25,0,0.7,41.67,0.44,26.67,1.78,34.43,0.64,1.32,0.12,29.49,0.15,0.44,45.16,86.6,18.91,78.36,3.77,96.12,18.65,92.63,5.38,54.89,20.6,37.23,0.01,0.18,0,0,0.06,0,0.09,6.08,70.19,1.11,47.37,0.67,43.48,0.32,0.26,8.42,69.44,0,,0,,0,0,0,0,,,2.46,,
F. Maglica,Varaždin,Varaždin,"RB, RWB",27,3069,1,0.73,2,3.19,Croatia,10.03,7.8,69.92,2.43,54.22,0.23,0.3,0.12,4.34,5.62,0.94,2,0.06,0,0,3.28,0.03,1,0.03,0.02,0,0,9,0.26,66.67,11.111,0.06,3.72,34.65,2.79,65.26,6.07,45.89,0.79,2.9,0.62,24.28,2.29,0.59,35.95,74.96,12.96,67.65,6.3,91.16,10.65,74.38,4.05,50,19.47,34.29,0.09,0.73,0,0,0,0,0.47,4.49,67.32,3.52,39.17,0.23,25,0.56,1.17,8.24,68.68,0,,0,,0,0,0,0,,,0.79,,
T. Božić,Slaven Belupo,Slaven Belupo,RCB,37,3042,3,1.88,1,0.53,Croatia,9.88,6.89,68.67,4.35,67.35,0.36,0.48,0.8,4.79,6.42,1.33,7,0.21,0,0,0.41,0.09,3,0.09,0.06,2,0.06,16,0.47,43.75,18.75,0.03,0.33,54.55,0.12,25,1.3,34.09,0.62,1.54,0.18,23.79,0.62,0.24,39.02,84.15,18.64,75.24,2.28,97.4,16.01,92.79,7.22,57.79,23.64,37.78,0.02,0.15,0,0,0.06,0,0.03,6.36,66.98,0.95,46.88,0.74,40,0.36,0.21,8.64,75.34,0,,0,,0,0,0,0,,,1.6,,
K. Krizmanić,OFI,Gorica,"LB, RCB, CB",25,3040,2,1.15,1,0.85,Croatia,8.73,6.13,57,2.96,49,0.3,0.37,0.44,4.94,6.15,0.83,3,0.09,0,0,0.36,0.06,2,0.06,0.03,1,0.03,6,0.18,50,33.333,0.03,0.47,25,0.41,35.71,1.57,49.06,0.44,0.53,0.09,25.85,0.38,0.62,37.98,85.35,15.31,75.82,3.38,95.61,14.42,93.22,3.38,45.61,19.25,35.57,0.03,0.18,0,0,0,0,0.06,3.08,64.42,0.62,23.81,0.21,14.29,0.27,0.09,6.45,61.93,0,,0,,0,0,0,0,,,0.92,,
M. Agyemang,Crown Legacy FC,Šibenik,"CB, RCB",20,3004,2,2.14,0,0.07,Croatia,9.2,4.82,75.78,5.3,59.32,0.33,0.4,0.6,5.21,6.32,0.84,5,0.15,1,0.03,0.42,0.06,2,0.06,0.06,2,0.06,15,0.45,33.33,13.333,0,0.15,40,0.24,87.5,2.13,46.48,0.54,0.57,0.03,21.3,0.24,0.81,36.28,85.47,13.51,72.73,2.07,94.2,17.92,94.65,3.86,48.84,21.54,35.19,0,0.06,0,0,0.06,0,0,2.79,63.44,0.27,33.33,0.33,27.27,0.06,0.06,6.2,55.56,0,,0,,0,0,0,0,,,1.59,,
A. Majstorović,Rijeka,Rijeka,RCB,31,3002,0,1.09,0,0.69,Croatia,6.03,3.45,60.87,4.23,65.96,0.27,0.35,0.45,3.66,4.78,0.96,7,0.21,0,0,0.21,0,0,0,0.03,0,0,11,0.33,36.36,0,0,0.15,40,0.18,16.67,1.2,42.5,0.42,0.72,0,28.9,0.39,0.81,44.01,84.81,17.12,70.58,3.12,95.19,20.57,95.19,7.29,49.79,24.18,38.78,0.02,0.09,0,0,0,0,0.09,5.91,52.79,0.63,47.62,0.54,44.44,0.3,0.06,7.94,65.28,0,,0,,0,0,0,0,,,2.46,,
L. Majkić,Istra 1961,Istra 1961,GK,25,2989,0,0,0,0,Croatia,0.84,0.15,60,0.33,100,0,0,0.03,0.75,1.01,0.06,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,11.26,0.33,0.27,16.26,84.63,8.79,75,0.03,100,6.05,96.02,5.69,60.85,31.34,51.46,0,0,0,0,0,0,0,1.9,57.14,0.03,0,0.09,0,0,0,4.49,71.14,34,1.02,110,3.31,12,69.09,34.64,1.04,0.64,0.019,0,1.26,0.33
L. Lučić,Slaven Belupo,Slaven Belupo,LB,30,2958,1,0.46,0,2.34,Croatia,9.86,5.75,65.08,3.35,65.45,0.46,0.6,0.33,5.66,7.48,0.85,8,0.24,1,0.03,2.01,0.03,1,0.03,0.01,0,0,6,0.18,16.67,16.667,0,4.08,38.06,0.55,61.11,2.19,36.11,0.58,1.86,0.49,32.59,2.31,0.76,47.1,75.58,22.64,69.62,5.6,95.11,13.81,78.63,7.24,49.58,21.29,33.32,0.07,0.58,0.03,0.06,0.15,60,0.3,8.4,63.77,4.05,47.37,0.43,57.14,0.58,1.55,13.78,77.48,0,,0,,0,0,0,0,,,0.88,,
A. Boršić,Varaždin,Varaždin,"LB, LWB",29,2904,0,0.64,0,1.12,Croatia,8.89,6.57,64.15,2.76,40.45,0.4,0.52,0.28,4.28,5.49,0.93,3,0.09,0,0,1.21,0,0,0,0.02,0,0,13,0.4,15.38,0,0,1.52,42.86,0.77,52,2.6,40.48,0.43,1.52,0.12,29.88,1.52,0.46,42.18,79.57,19.31,70.95,5.95,93.23,12.27,88.13,5.73,48.11,20.18,35.54,0.03,0.59,0,0,0.22,42.86,0.25,6.17,69.85,2.23,50,0.65,38.1,0.68,0.65,9.67,69.23,0,,0,,0,0,0,0,,,0.9,,
M. Lisica,Dinamo Zagreb,Istra 1961,"RAMF, RW",22,2901,5,3.58,5,4.67,Croatia,5.12,4.13,60.9,1.15,32.43,0.34,0.45,0.06,2.26,3,0.71,0,0,0,0,3.41,0.16,5,0.16,0.11,0,0,39,1.21,25.64,12.821,0.16,2.85,27.17,3.78,61.48,7.54,45.27,2.82,2.08,0.37,15.33,1.83,0.74,21.75,69.9,4.03,67.69,5.58,82.78,7.29,63.83,1.05,55.88,16.92,20.28,0.14,1.05,0.12,0,0,0,0.5,0.84,70.37,3.2,43.69,0.06,100,1.18,0.81,3.32,64.49,0,,0,,0,0,0,0,,,0.09,,
