Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
S. Mazzaferro,Atlanta United II,Atlanta United II,"CB, LCB",23,2162,2,1.61,1,0.66,Canada,6.62,4.5,68.52,2.08,52,0.17,0.22,0.37,3.37,4.49,1.46,3,0.12,0,0,0.25,0.08,2,0.08,0.07,0,0,9,0.37,44.44,22.222,0.04,0,0,0.17,50,2.04,63.27,0.92,0.54,0,43.5,0.33,1.33,58.78,93.2,17.98,84.49,4.54,97.25,31.3,97.47,4.79,63.48,19.81,39.54,0.03,0.08,0.04,0,0,0,0.04,5.66,75.74,0.29,14.29,0.17,0,0.12,0,6.95,76.05,0,,0,,0,0,0,0,,,3.08,,
A. Cano,The Town,The Town,RCB,21,2139,2,3.06,1,0.56,United States,10.73,7.15,75.29,2.78,42.42,0.63,0.82,0.63,4.71,6.1,0.84,4,0.17,0,0,0.5,0.08,2,0.08,0.13,0,0,12,0.5,41.67,16.667,0.04,0.34,12.5,0.55,46.15,2.23,43.4,1.01,0.55,0.04,45.61,0.29,0.72,61.22,87.35,21.71,73.64,3.74,95.51,30.38,96.81,7.83,47.31,22.07,43.26,0.02,0.13,0,0,0,0,0.04,5.6,55.64,0.5,0,0.29,14.29,0.29,0.04,9.13,65.44,0,,0,,0,0,0,0,,,2.19,,
T. Robertson,Chattanooga,Chattanooga,"RB, RWB",28,2137,6,3.35,8,6.5,United States,6.14,4.95,48.21,1.46,36.36,0.27,0.29,0.44,3.49,3.81,0.71,6,0.25,0,0,2.7,0.25,3,0.13,0.15,0,0,23,1.02,34.78,26.087,0.35,3.89,36.36,1.37,67.74,5.17,48.72,1.55,1.59,0.04,27.97,2.12,1.1,37.64,76.06,14.62,64.95,5.74,97.69,12.95,81.57,5.66,53.13,22.73,42.62,0.29,1.99,0.09,0.04,0.18,0,0.66,6.41,55.17,4.9,51.35,1.02,34.78,1.37,1.41,9.46,73.83,0,,0,,0,0,0,0,,,0.88,,
M. Stojadinovic,Toronto II,Toronto II,"RB, RCB, RCMF",21,2112,2,1.05,0,0.22,Canada,10.82,7.63,65.92,0.43,70,0.64,0.71,0.51,5.16,5.72,0.89,0,0,1,0.04,1.19,0.09,2,0.09,0.04,0,0,21,0.89,38.1,9.524,0,0.72,41.18,0.94,54.55,3.2,42.67,0.51,0.72,0.13,38.78,0.43,0.6,51.31,87.13,15.55,75.62,8.61,95.54,19.56,92.59,3.79,52.81,18.34,34.92,0.01,0.13,0.09,0.04,0.04,100,0.13,7.71,74.59,1.62,42.11,0.6,35.71,0.43,0.34,8.05,74.07,0,,0,,0,0,0,0,,,1.28,,
M. Tschantret,Sporting KC II,Sporting KC II,"DMF, CB, RCMF",19,2111,3,2.51,0,0.41,United States,7.67,5.37,64.29,2.98,55.71,0.09,0.1,0.47,4.14,4.82,1.02,3,0.13,0,0,0.51,0.13,3,0.13,0.11,1,0.04,18,0.77,50,16.667,0,0.21,20,0.3,28.57,2.26,33.96,1.02,0.3,0,35.09,0.04,0.55,47.79,88.22,12.7,74.83,7.03,94.55,24.13,93.64,4.18,57.14,20.24,36.4,0.02,0.34,0,0,0.04,0,0.09,5.29,72.58,0.64,53.33,0.3,28.57,0.26,0.04,6.4,63.33,0,,0,,0,0,0,0,,,1.53,,
R. Uzcátegui,Philadelphia Union II,Philadelphia Union II,"LCB, RCB",20,2101,1,1.66,0,0.16,Venezuela,9.12,8.01,70.05,3.64,57.65,0.51,0.68,0.3,3,3.97,1.33,7,0.3,0,0,0.34,0.04,1,0.04,0.07,0,0,12,0.51,25,8.333,0,0.17,0,0.21,80,1.29,43.33,0.64,1.2,0.04,26.09,0.13,0.26,42.79,89.69,17.43,81.57,1.84,93.02,19.23,97.33,3.86,55.56,20.43,32.24,0.01,0.09,0.04,0,0.09,50,0.04,5.4,79.37,0.6,28.57,0.26,33.33,0.26,0,6.85,71.88,0,,0,,0,0,0,0,,,1.5,,
R. Wynne,Atlanta United II,Atlanta United II,"RCB, RB",24,2096,1,0.61,1,0.71,New Zealand,6.44,3.99,67.74,2.1,57.14,0.09,0.11,0.52,3.65,4.88,0.64,2,0.09,0,0,0.56,0.04,1,0.04,0.03,1,0.04,2,0.09,100,50,0.04,0.52,41.67,0.56,46.15,2.28,60.38,0.39,1.16,0.04,39.03,0.52,1.29,49.9,89.76,19.79,82.21,4.08,97.89,20.91,96.1,4.12,60.42,19.8,36.87,0.03,0.17,0.04,0.04,0,0,0.13,7.21,82.14,0.82,57.89,0.13,66.67,0.3,0.26,10.43,75.31,0,,0,,0,0,0,0,,,1.76,,
N. Adnan,Cincinnati II,Cincinnati II,RCB,23,2093,0,1.41,0,0.14,United States,9.25,6.58,64.05,3.35,58.97,0.82,0.97,0.39,4.21,4.98,0.86,6,0.26,0,0,0.47,0,0,0,0.06,0,0,8,0.34,50,0,0,0.13,0,0.43,70,2.24,61.54,0.47,0.47,0.04,27.05,0.6,1.03,38.49,85.92,16.86,75.26,2.54,96.61,16.04,94.91,4.69,54.13,21.18,40.42,0.01,0.13,0,0,0.04,0,0,5.76,68.66,0.39,11.11,0.26,16.67,0.09,0,7.48,72.41,0,,0,,0,0,0,0,,,1.25,,
B. Pope,Portland Timbers II,Portland Timbers II,"LB, RB",22,2065,1,1.81,2,1.13,United States,10.77,7.19,62.42,1.44,45.45,0.7,0.87,0.44,5.58,6.94,1.09,4,0.17,0,0,1.05,0.04,0,0,0.08,0,0,18,0.78,38.89,5.556,0.09,1.13,19.23,0.83,63.16,2.88,54.55,1.05,1.7,0.44,37,1.66,1.22,47.24,85.42,19.39,77.53,8.41,96.89,11.9,88.64,2.92,34.33,17.53,35.76,0.05,0.44,0.04,0,0,0,0.17,5.88,76.3,0.87,50,0.09,50,0.35,0.31,8.63,71.21,0,,0,,0,0,0,0,,,0.44,,
Pedro Cruz,Houston Dynamo II,Houston Dynamo II,GK,21,2062,0,0.13,0,0,Brazil,2.1,0.44,70,0.61,92.86,0,0,0,1.79,2.33,0.04,2,0.09,0,0,0.04,0,0,0,0.01,0,0,1,0.04,0,0,0,0,0,0.09,50,0.39,44.44,0.04,0,0,11.92,0.13,0.09,22.13,81.85,12.61,70.93,0.04,0,7.81,97.21,8.42,56.99,31.26,50.09,0,0,0.04,0,0,0,0,2.92,49.25,0.17,25,0.31,28.57,0.09,0,5.98,68.61,33,1.44,115,5.02,3,71.3,34.35,1.5,1.35,0.059,0,1.4,0.61
