Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
J. Boula,Baník Ostrava,Baník Ostrava,"RCMF, LCMF, RDMF",26,3214,1,0.62,1,1.17,Czech Republic,8.12,6.36,56.83,2.13,47.37,0.17,0.24,0.56,4.34,6.15,1.26,4,0.11,0,0,0.95,0.03,1,0.03,0.02,0,0,25,0.7,12,4,0.03,0.84,23.33,0.9,62.5,3.72,38.35,0.64,1.43,0.2,27.19,0.25,0.78,42.82,80.44,15.26,67.71,5.82,94.23,15.09,87.2,5.26,50,19.08,37.87,0.03,0.53,0.14,0,0.22,50,0.25,7.78,66.55,2.21,48.1,0.76,44.44,0.78,0.22,7.53,72.12,0,,0,,0,0,0,0,,,0.98,,
M. Cedidla,Jablonec,Jablonec,"LCB, RWB",23,3124,2,0.88,1,1.29,Czech Republic,7.86,5.36,71.51,4.06,66.67,0.14,0.2,0.52,3.89,5.39,0.89,5,0.14,1,0.03,1.56,0.06,2,0.06,0.03,0,0,15,0.43,33.33,13.333,0.03,1.47,43.14,1.27,59.09,4.18,42.76,0.75,1.07,0.29,22.9,0.98,1.33,34.86,81.57,16.31,74.38,3.28,93.86,10.89,88.1,4.98,51.45,19.94,36.22,0.04,0.17,0.06,0,0.06,50,0.17,4.44,64.94,1.58,45.45,0.26,22.22,0.35,0.46,7.46,68.73,0,,0,,0,0,0,0,,,0.95,,
L. Kalvach,Qatar SC,Viktoria Plzeň,"LCMF, RCMF, DMF",30,3107,5,2.78,9,7.73,Czech Republic,9.67,5.59,58.55,2,52.17,0.41,0.63,0.29,6,9.28,1.42,3,0.09,0,0,1.71,0.14,5,0.14,0.08,0,0,37,1.07,27.03,13.514,0.26,1.82,38.1,0.98,64.71,2.95,44.12,1.13,0.72,0,30.13,0.43,0.87,45.74,84.17,18.31,76.11,6.89,96.64,13.04,88.44,4.92,52.35,16.95,35.41,0.22,1.59,0.12,0.03,0.12,75,0.32,7.15,74.09,3.33,52.17,0.61,38.1,1.33,0.7,7.94,82.48,0,,0,,0,0,0,0,,,0.49,,
M. Havlík,Slovácko,Slovácko,"AMF, LDMF, RCMF",29,3059,5,3.4,1,3.61,Czech Republic,7.03,5,58.82,2.59,37.5,0.15,0.2,0.12,3.94,5.35,0.76,4,0.12,0,0,1.41,0.15,4,0.12,0.1,0,0,45,1.32,35.56,11.111,0.03,1.47,42,0.56,42.11,2.38,45.68,0.76,0.44,0.12,18.95,0.47,0.85,31.16,78.47,11.83,65.42,4.88,96.39,9.59,85.28,4.5,50.98,18.68,29.8,0.11,0.97,0.09,0,0.12,75,0.32,5.41,63.04,2.27,44.16,0.53,44.44,0.68,0.59,5.97,71.43,0,,0,,0,0,0,0,,,0.29,,
K. Pojezný,Baník Ostrava,Baník Ostrava,LCB,23,3038,2,1.94,2,1.06,Czech Republic,9.07,6.9,68.24,3.85,66.15,0.12,0.17,0.5,4.24,6.11,0.59,2,0.06,0,0,1.1,0.06,2,0.06,0.06,0,0,26,0.77,23.08,7.692,0.06,1.01,44.12,0.59,65,2.25,42.11,0.56,2.07,0.44,29.54,0.8,0.36,44.91,80.41,22.4,71.56,3.53,92.44,14.72,90.14,8.09,54.95,22.53,37.55,0.03,0.36,0.03,0.03,0.27,33.33,0.18,9.27,66.13,2.46,40.96,1.01,32.35,0.65,0.39,12.12,73.84,0,,0,,0,0,0,0,,,1.45,,
L. Hůlka,Bohemians 1905,Bohemians 1905,"DMF, RCB, RDMF",30,3008,0,1.9,0,0.24,Czech Republic,10.62,6.28,70.48,6.04,58.42,0.15,0.21,0.3,6.04,8.35,0.93,2,0.06,0,0,0.81,0,0,0,0.06,0,0,25,0.75,24,0,0,0.75,40,0.57,47.37,3.26,44.95,0.93,0.66,0.15,18.91,0.39,1.14,35.22,78.76,15.08,68.06,3.83,95.31,12.33,89.08,4.79,51.88,20.03,34.66,0.01,0.15,0.03,0,0.06,100,0.03,5.71,68.59,1.17,56.41,0.33,72.73,0.36,0.27,7.21,69.29,0,,0,,0,0,0,0,,,0.87,,
K. Spáčil,Viktoria Plzeň,Hradec Králové,LCB,22,2987,3,1.12,2,2.17,Czech Republic,10.09,7.71,67.58,3.01,46,0.09,0.11,0.51,4.79,6.09,1.02,5,0.15,0,0,1.27,0.09,3,0.09,0.03,1,0.03,26,0.78,19.23,11.538,0.06,0.75,28,1.69,53.57,5.12,42.35,0.78,1.72,0.3,25.28,0.36,0.54,40.98,81.18,20.13,73.2,3.53,93.16,11.06,89.1,5.27,48.57,19.1,33.98,0.07,0.51,0,0.03,0.12,0,0.09,7.05,67.52,1.63,44.44,0.33,9.09,0.54,0.21,9.22,69.61,0,,0,,0,0,0,0,,,1.42,,
M. Trmal,Teplice,Teplice,GK,26,2948,0,0,0,0,Czech Republic,1.86,0.09,66.67,0.34,90.91,0.03,0.04,0,1.77,2.57,0.03,0,0,1,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,33.33,0.31,50,0,0,0,15.51,0.24,0.12,25.25,91.54,12.18,85.21,0,0,12.52,97.56,6.9,74.78,30.3,49.47,0,0,0,0.06,0,0,0,2.17,63.38,0.09,0,0.12,25,0,0,5.89,81.35,28,0.85,123,3.76,13,77.24,35.6,1.09,7.6,0.232,0,1.62,0.34
J. Peterka,Dukla Praha,Dukla Praha,"LCB, DMF",35,2937,2,1.28,0,0.04,Czech Republic,10.23,6.07,68.69,4.14,46.67,0.4,0.5,0.49,5.67,7.12,0.98,6,0.18,1,0.03,0.55,0.06,2,0.06,0.04,0,0,7,0.21,42.86,28.571,0,0.31,40,0.55,55.56,2.45,48.75,0.4,1.07,0.09,28.16,0.28,1.16,44.68,85.53,19.77,77.05,4.29,94.29,15.63,93.92,6.34,58.94,19.05,30.37,0,0.06,0,0,0.03,100,0,6.93,72.57,0.86,53.57,0.34,36.36,0.43,0.15,9.01,73.13,0,,0,,0,0,0,0,,,2.21,,
M. Trávník,Slovácko,Slovácko,"RDMF, LDMF, RCMF",31,2918,1,2.32,5,4.48,Czech Republic,9.31,8.76,58.1,2.53,43.9,0.4,0.56,0.28,3.82,5.35,1.73,9,0.28,0,0,1.36,0.03,1,0.03,0.07,0,0,33,1.02,9.09,3.03,0.15,1.82,37.29,1.05,50,5.27,40.94,0.68,0.71,0.09,22.11,0.49,1.85,37.32,77.11,14.19,63.26,6.35,92.72,11.91,87.05,6.2,47.76,20.52,33.31,0.14,1.2,0,0.03,0.12,50,0.34,6.94,60.44,2.62,37.65,0.56,22.22,0.34,0.65,7.49,71.6,0,,0,,0,0,0,0,,,0.49,,
