Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
S. Peeters,Patro Eisden,Patro Eisden,LCMF,34,2663,1,2.9,8,9.86,Belgium,6.86,5.41,60.62,1.45,55.81,0.2,0.23,0.14,3.38,3.92,1.28,7,0.24,0,0,2.37,0.03,0,0,0.1,0,0,32,1.08,34.38,3.125,0.27,2.37,42.86,1.18,71.43,3.92,45.69,0.71,1.18,0.17,24.6,0.54,0.84,38.63,72.79,16.32,68.53,4.33,88.28,13.92,72.33,10.85,53.89,24.15,40.6,0.33,2.23,0,0.03,0.17,80,0.54,11.12,60.18,3.85,52.63,1.18,51.43,1.22,1.01,10.04,82.83,0,,0,,0,0,0,0,,,0.24,,
K. Pierre,Genk,Genk II,RB,23,2627,0,1.41,2,1.09,United States,7.23,5.65,62.42,1.71,40,0.58,0.72,0.14,3.12,3.86,0.99,9,0.31,0,0,1.06,0,0,0,0.05,0,0,10,0.34,10,0,0.07,1.34,20.51,1.44,52.38,4.45,46.15,1.64,2.26,0.58,19.46,1.82,0.89,28.09,79.27,10,69.86,6.13,96.09,7.33,81.31,1.34,48.72,17.26,24.4,0.04,0.38,0.03,0,0,0,0.21,2.43,66.2,1.51,38.64,0.14,0,0.69,0.24,4.15,61.16,0,,0,,0,0,0,0,,,0.99,,
L. Van Eenoo,Beerschot VA,Beerschot VA,"LCMF, LDMF, RCMF",35,2612,2,3.84,4,6.4,Belgium,8.68,6.37,61.62,3.03,48.86,0.45,0.62,0.38,4.31,5.94,1.03,4,0.14,0,0,1.62,0.07,1,0.03,0.13,0,0,35,1.21,37.14,5.714,0.14,2.38,33.33,0.62,61.11,2.62,42.11,1.17,0.72,0.14,35.08,0.28,0.79,51.55,85.09,15.23,73.53,9.58,98.2,16.64,88.41,5.2,49.67,18.42,35.19,0.22,1.79,0.07,0.07,0.03,0,0.41,7.55,70.32,2.79,55.56,0.48,42.86,0.72,0.86,7.61,75.57,0,,0,,0,0,0,0,,,1.17,,
L. Jans,SK Beveren,SK Beveren,RB,33,2605,0,1.03,3,2.56,Luxembourg,7.36,5.67,63.41,3.07,49.44,0.28,0.38,0.24,3.49,4.76,0.62,3,0.1,0,0,1.76,0,0,0,0.04,0,0,14,0.48,21.43,0,0.1,3.73,33.33,0.86,44,2.35,42.65,0.93,1.28,0.28,34.58,3.66,0.79,47.26,77.92,17.14,72.18,8.33,93.78,14.65,76.65,4.91,57.75,19.1,33.73,0.09,0.59,0.03,0.03,0.03,100,0.28,5.53,71.88,4.21,42.62,0.35,30,0.73,1.11,10.16,76.87,0,,0,,0,0,0,0,,,1.59,,
J. Bustin,Liège,Liège,LCB,27,2589,0,1.81,2,0.19,Belgium,10.39,6.4,67.93,4.03,52.59,0.31,0.36,0.94,5.74,6.56,1.15,9,0.31,0,0,0.14,0,0,0,0.06,0,0,11,0.38,18.18,0,0.07,0.07,50,0.07,50,0.94,40.74,0.49,1.08,0,34.76,0.28,0.45,48.46,85.94,18.22,70.42,3.23,96.77,24.09,96.1,8.24,52.74,23.68,39.86,0.01,0.07,0,0,0.03,0,0.1,7.54,67.28,0.8,30.43,0.56,18.75,0.17,0.03,9.07,70.11,0,,0,,0,0,0,0,,,2.82,,
T. Reyners,Lommel SK,Lommel SK,"CF, LW, LAMF",25,2581,4,4.76,9,4.02,Belgium,5.65,5.4,62.58,2.51,13.89,0.07,0.09,0,2.2,2.92,0.87,1,0.03,0,0,4.32,0.14,4,0.14,0.17,0,0,60,2.09,53.33,6.667,0.31,3.03,36.78,3.91,53.57,10.32,39.86,3.31,2.58,0.52,27.02,1.36,1.78,35.81,81.5,8.33,72.8,8.02,96.96,10.25,76.19,1.43,60.98,15.56,25.99,0.14,1.29,0.17,0,0.03,0,1.01,3,73.26,3.56,55.88,0.07,0,1.29,1.12,4.99,79.02,0,,0,,0,0,0,0,,,0.17,,
S. de Grand,Lommel SK,Lommel SK,LB,21,2562,1,2.01,8,6.11,Netherlands,8.29,6.5,64.86,1.05,40,0.46,0.6,0.11,3.62,4.79,0.56,5,0.18,1,0.04,3.69,0.04,1,0.04,0.07,0,0,24,0.84,50,4.167,0.28,4.53,44.19,1.93,58.18,4.57,44.62,1.41,2.11,0.21,41.87,1.37,0.46,54.84,83.86,19.43,77.4,9.41,97.76,18.16,82.59,5.16,62.59,18.56,34.83,0.21,1.58,0.04,0.04,0.25,57.14,0.91,7.41,72.99,5.2,51.35,0.6,64.71,1.23,1.86,10.82,85.39,0,,0,,0,0,0,0,,,0.46,,
A. Dony,Patro Eisden,Patro Eisden,LB,21,2556,0,0.43,0,2.54,Belgium,9.93,7.36,66.03,2.89,43.9,0.81,0.95,0.11,4.26,4.98,0.63,5,0.18,0,0,1.3,0,0,0,0.02,0,0,8,0.28,25,0,0,1.51,53.49,0.63,61.11,2.22,47.62,0.18,0.53,0.14,14.61,0.81,0.53,27.85,69.41,14.65,59.86,3.42,89.69,6.9,79.08,6.37,45.3,22.19,36.45,0.09,0.77,0.07,0.04,0.04,100,0.21,6.3,54.19,2.18,53.23,0.39,18.18,0.39,0.85,8.06,67.25,0,,0,,0,0,0,0,,,0.95,,
T. Ambrose,Kortrijk,Kortrijk,"CF, AMF",28,2540,13,12.23,10,7.26,France,4.5,3.79,65.42,5.28,45.64,0.28,0.37,0,1.74,2.25,0.85,4,0.14,0,0,6.34,0.46,9,0.32,0.43,0,0,76,2.69,40.79,17.105,0.35,3.12,37.5,7.02,55.56,17.82,40.95,5.31,3.37,0.32,21.86,2.16,1.84,32.1,73.51,9.11,61.48,5.35,88.08,11.44,78.33,3.19,61.11,19.59,36,0.26,1.67,0.25,0,0.28,62.5,1.1,4.5,65.35,4.04,62.28,0.67,63.16,2.13,1.13,4.93,84.89,0,,0,,0,0,0,0,,,0.04,,
T. Janssen,Lokeren-Temse,Lokeren-Temse,"RDMF, RCMF",29,2514,3,3.8,2,2.24,Belgium,7.05,6.77,61.9,3.62,42.57,0.25,0.35,0.14,2.61,3.61,1.47,10,0.36,1,0.04,2.29,0.11,3,0.11,0.14,1,0.04,33,1.18,27.27,9.091,0.07,2.29,28.13,2.29,54.69,5.94,45.18,2.47,1,0.21,28.5,0.61,1.22,40.38,82.45,12.21,74.19,7.66,93.46,14.14,85.57,3.01,50,18.19,31,0.08,0.47,0.04,0,0.21,33.33,0.18,5.44,75,2.47,49.28,0.54,46.67,0.82,0.68,6.09,75.88,0,,0,,0,0,0,0,,,0.89,,
