Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
B. Segura,Pérez Zeledón,Pérez Zeledón,GK,28,3868,0,0,0,0,Costa Rica,1.4,0.09,75,0.63,96.3,0.02,0.03,0,1.3,1.6,0.02,9,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0,0,0,5.56,0.12,0.26,11.38,84.05,7.03,76.82,0,0,3.47,97.99,5.05,67.74,36.42,55.16,0,0,0,0,0,0,0,1.88,55.56,0.19,12.5,0.14,33.33,0.05,0,4.05,80.46,42,0.98,177,4.12,15,76.27,48.44,1.13,6.44,0.15,0,1.98,0.63
A. Chévez,Municipal Liberia,Santa Ana,"LB, LCB",21,3848,4,3.53,2,2.49,Costa Rica,10.74,7.6,66.46,6.29,62.83,0.68,1,0.33,5.01,7.35,1.33,9,0.21,2,0.05,1.52,0.09,3,0.07,0.08,2,0.05,39,0.91,17.95,10.256,0.05,2.78,30.25,0.94,52.5,2.83,57.02,0.84,1.45,0.19,21.92,1.64,1.5,35.71,70.14,19.32,64.29,2.95,89.68,10.13,75.75,10.48,54.02,25.06,37.36,0.06,0.7,0,0.02,0.05,50,0.4,9.05,58.91,3.27,35.71,0.35,60,0.51,0.91,11.74,76.1,0,,0,,0,0,0,0,,,0.51,,
E. Mosquera,Municipal Liberia,Municipal Liberia,"LCB, CB",34,3829,1,2.6,1,0.41,Colombia,7.83,4.58,80.51,3.95,50.6,0.02,0.03,0.59,4.11,5.94,0.31,4,0.09,0,0,0.19,0.02,1,0.02,0.06,0,0,12,0.28,16.67,8.333,0.02,0.28,33.33,0.21,22.22,1.06,37.78,0.49,0.14,0.02,22.19,0.26,0.16,36.9,84.46,18.43,76.4,0.68,96.55,15.51,92.88,6.96,55.41,23.55,38.08,0.01,0.12,0,0,0,0,0.07,5.41,67.83,0.52,36.36,0.54,43.48,0.16,0.09,8.65,69.29,0,,0,,0,0,0,0,,,0.35,,
L. Flores,Cartaginés,Cartaginés,"RCMF, DMF, LCMF",31,3794,0,1.31,0,3.45,Costa Rica,8.07,5.67,65.27,1.47,41.94,0.5,0.72,0.31,3.87,5.61,0.95,8,0.19,0,0,0.55,0,0,0,0.03,0,0,34,0.81,17.65,0,0,0.81,32.35,0.19,75,1.21,41.18,0.36,0.26,0,24.62,0.38,0.26,38.38,84.86,13.59,75.04,5.38,92.51,14.75,91,5.22,64.09,20.9,35.66,0.08,0.83,0.05,0.02,0.02,0,0.12,7.24,72.79,1.61,51.47,0.52,31.82,0.55,0.26,7.66,80.8,0,,0,,0,0,0,0,,,0.97,,
J. Rivera Stuart,Pérez Zeledón,Pérez Zeledón,RB,28,3766,0,0.45,1,2.54,Costa Rica,7.38,5.57,65.67,2.17,43.96,0.65,0.8,0.31,3.08,3.83,0.84,10,0.24,1,0.02,1.51,0,0,0,0.01,0,0,10,0.24,20,0,0.02,2.15,34.44,0.96,70,3.01,48.41,0.22,0.98,0.1,21.32,0.88,0.76,32.29,80.31,14.36,73.54,5.78,95.04,8.08,81.36,6.4,59.33,22.08,37.31,0.06,0.6,0.05,0,0.05,100,0.22,5.31,71.62,2.13,46.07,0.33,64.29,0.38,0.76,8.91,73.19,0,,0,,0,0,0,0,,,0.65,,
C. Reyes,Municipal Liberia,Municipal Liberia,"RCB, LCMF",29,3748,1,1.69,0,0.15,Costa Rica,8.81,5.96,66.53,4.49,49.73,0.72,1.04,0.58,4.13,5.95,1.22,9,0.22,1,0.02,1.13,0.02,1,0.02,0.04,1,0.02,26,0.62,30.77,3.846,0,0.12,20,1.32,65.45,3.36,44.29,0.5,0.94,0.07,20.94,0.34,0.94,32.8,85.8,16.16,78.45,1.51,95.24,12.05,94.02,5.14,61.21,21.31,40.35,0,0.07,0,0.02,0.12,40,0.02,5.93,67.61,0.48,40,0.38,43.75,0.19,0.02,7.35,80.72,0,,0,,0,0,0,0,,,0.5,,
J. Leiva,Puntarenas,Puntarenas,"RCMF, RCB, RDMF",32,3719,2,2.58,1,0.81,Costa Rica,9.92,7.79,56.21,5.49,60.79,0.61,0.91,0.44,4.94,7.45,1.91,8,0.19,0,0,0.77,0.05,2,0.05,0.06,1,0.02,30,0.73,36.67,6.667,0.02,0.53,40.91,0.63,46.15,4.02,37.95,0.75,1.11,0.1,20.86,0.24,1.26,35.16,80.45,16.26,70.24,4.21,95.4,10.19,88.84,5.03,51.92,19.4,35.4,0.02,0.22,0,0.05,0,0,0.15,6.24,65.12,1.19,46.94,0.56,39.13,0.48,0.19,7.72,73.67,0,,0,,0,0,0,0,,,0.73,,
M. Villalobos,Santa Ana,Santa Ana,"LW, RW, LCMF",25,3701,3,2.85,6,5.81,Costa Rica,5.18,4.72,60.82,1.29,43.4,0.22,0.32,0.1,2.09,3.05,0.68,4,0.1,0,0,3.6,0.07,3,0.07,0.07,0,0,45,1.09,20,6.667,0.15,2.29,34.04,4.89,53.23,10.26,40.28,1.75,2.36,0.36,18.19,1.24,1.07,26.24,80.26,6.47,66.54,6.08,94.8,8.51,81.43,1.34,65.45,17.59,24.18,0.14,1.34,0.07,0,0.07,0,0.41,2.46,67.33,2.36,45.36,0.15,33.33,0.71,0.78,3.23,78.95,0,,0,,0,0,0,0,,,0.05,,
Y. Molina,Guanacasteca,Guanacasteca,"RCB, LCB",29,3694,1,2.74,0,0.06,Costa Rica,10.35,6.16,73.52,5.46,62.95,0.27,0.35,0.66,5.55,7.25,0.73,5,0.12,0,0,0.22,0.02,1,0.02,0.07,0,0,16,0.39,37.5,6.25,0,0.05,0,0.1,75,1,43.9,0.61,0.05,0,14.28,0.19,0.56,26.14,79.87,11.65,69.04,1.1,91.11,11.38,89.94,4.78,51.02,22.12,34.69,0,0.02,0,0,0,0,0,2.53,51.92,0.22,11.11,0.22,22.22,0.07,0,6.12,56.97,0,,0,,0,0,0,0,,,0.63,,
J. Mora,Deportivo Saprissa,Deportivo Saprissa,LB,32,3692,0,0.6,8,5.39,Costa Rica,8.53,6.7,70.18,2.68,43.64,0.49,0.75,0.12,3.34,5.13,0.66,5,0.12,0,0,2.68,0,0,0,0.01,0,0,8,0.2,37.5,0,0.2,3.56,36.3,2.36,55.67,5.51,43.81,1.02,1.83,0.41,19.09,1.66,0.8,30.11,72.87,12.6,70.02,5.05,92.75,8.22,70.33,4.05,51.2,22.48,34.29,0.13,0.83,0.02,0.05,0.02,0,0.44,5.22,66.82,2.78,46.49,0.39,50,0.37,1.24,7.53,74.76,0,,0,,0,0,0,0,,,0.32,,
