Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Ali Madan,Al Riffa,Ajman,RW,29,962,1,1.55,2,0.45,Bahrain,6.64,4.96,58.49,1.5,43.75,0.65,0.86,0.19,3.09,4.06,0.56,1,0.09,0,0,1.96,0.09,1,0.09,0.14,0,0,15,1.4,33.33,6.667,0.19,1.4,20,2.25,50,7.77,48.19,2.06,1.22,0.37,18.52,1.68,2.62,26.66,78.25,8.14,75.86,5.43,89.66,8.05,74.42,2.53,66.67,16.19,28.2,0.04,0.56,0.09,0,0.19,50,0.65,3.74,80,1.59,35.29,0.37,25,0.84,0.37,4.86,73.08,0,,0,,0,0,0,0,,,0,,
G. Infantino,Fiorentina,Al Ain,"RCMF, LDMF, AMF",22,111,0,0.08,0,0.03,Argentina,8.11,4.05,80,3.24,25,0,0,0,4.86,13.85,1.62,0,0,0,0,0,0,0,0,0.07,0,0,1,0.81,0,0,0,0.81,0,1.62,0,7.3,33.33,2.43,0.81,0,32.43,0,0.81,42.97,86.79,13.78,82.35,2.43,100,15.41,89.47,2.43,33.33,13.55,12,0.02,0.81,0,0,0,0,0,6.49,100,0,0,0,0,0,0,5.68,85.71,0,,0,,0,0,0,0,,,0,,
H. Seferović,United FC,Al Nasr,CF,33,1335,4,5.21,1,0.23,Switzerland,1.96,1.82,40.74,4.31,34.38,0.07,0.1,0.2,1.15,1.63,1.01,1,0.07,0,0,0.81,0.27,4,0.27,0.35,1,0.07,24,1.62,29.17,16.667,0.07,0.88,15.38,0.47,14.29,5.87,14.94,3.98,0.54,0.13,11.66,1.75,0.47,16.04,76.89,1.89,39.29,5.6,96.39,5.12,77.63,0.4,83.33,15.8,6.15,0.02,0.47,0,0,0.13,100,0.2,1.21,61.11,0.88,46.15,0.2,100,0.74,0.13,1.21,50,0,,0,,0,0,0,0,,,0.07,,
Ali Saleh,Al Wasl,Al Wasl,"LW, LAMF",25,2024,3,5.23,7,5.46,United Arab Emirates,3.56,3.91,48.86,1.42,34.38,0.09,0.14,0,1.56,2.44,1.42,4,0.18,0,0,4.76,0.13,3,0.13,0.23,1,0.04,43,1.91,39.53,6.977,0.31,4.27,32.29,5.2,47.86,10.05,42.04,4.09,2.58,0.31,21.03,2.49,1.69,25.39,74.08,5.2,70.09,6.14,93.48,8.58,68.91,1.29,51.72,19.48,30.13,0.24,1.69,0.04,0,0.18,75,0.8,2,64.44,3.56,51.25,0.27,50,0.98,1.47,3.96,85.39,0,,0,,0,0,0,0,,,0.04,,
Yahya Al Ghassani,Shabab Al Ahli Dubai,Shabab Al Ahli Dubai,"LW, LAMF",27,486,0,1.1,1,0.53,United Arab Emirates,8.33,6.85,64.86,2.04,18.18,0.37,0.62,0,3.52,5.88,0.93,0,0,0,0,3.15,0,0,0,0.2,0,0,11,2.04,27.27,0,0.19,2.78,26.67,3.89,47.62,9.26,38,3.15,3.7,0.56,27.78,1.67,1.11,35.56,76.56,7.78,57.14,7.41,97.5,12.04,72.31,3.15,41.18,16.72,20.41,0.1,1.11,0,0,0.37,0,0.37,3.89,61.9,3.52,36.84,0.74,25,1.11,0.56,5.93,78.13,0,,0,,0,0,0,0,,,0,,
A. Ganiev,Al Bataeh,Al Bataeh,"RCMF, RDMF, RW",27,2121,2,2.39,5,2.66,Uzbekistan,6.32,5.52,57.69,1.4,33.33,0.21,0.27,0.17,2.93,3.77,0.93,5,0.21,0,0,1.78,0.08,0,0,0.1,0,0,25,1.06,40,8,0.21,2.59,42.62,0.59,42.86,2.16,31.37,0.51,0.98,0.38,25.21,1.32,0.59,35.3,84.01,9.38,79.64,6.36,88.67,12.6,83.84,2.63,56.45,18.06,32.1,0.11,1.19,0.04,0.04,0,0,0.38,4.67,80,2.25,52.83,0.04,0,0.34,0.93,5.98,80.14,0,,0,,0,0,0,0,,,0.08,,
A. Burcă,Yunnan Yukun,Bani Yas,"RCB, CB",32,2409,1,1.98,1,0.39,Romania,8.52,3.47,75.27,2.8,64,0.3,0.38,0.75,5.6,7.12,0.3,4,0.15,0,0,0.45,0.04,0,0,0.07,0,0,17,0.64,29.41,5.882,0.04,0.3,12.5,0.26,71.43,1.27,44.12,0.56,1.2,0,24.77,0.37,0.37,36.35,81.09,15.06,67.49,1.98,96.23,16.66,91.48,7.88,54.98,23.74,36.95,0.01,0.11,0,0,0.07,50,0.15,5.42,57.24,0.71,47.37,0.49,15.38,0.3,0.07,8.37,64.73,0,,0,,0,0,0,0,,,1.23,,
Erik,Al Ain,Al Ain,"LB, LWB",24,1771,0,1.94,5,3.13,Brazil,9.25,7.52,63.51,1.42,35.71,0.46,0.79,0.3,4.01,6.97,1.22,3,0.15,0,0,3.61,0,0,0,0.1,0,0,22,1.12,31.82,0,0.25,4.83,31.58,3,57.63,6.35,56,2.19,2.08,0.51,32.22,2.74,2.13,42.18,78.31,13.77,71.59,9.45,96.77,11.33,74.89,3.71,41.1,18.19,34.09,0.16,1.22,0.05,0.1,0.05,0,0.56,4.57,66.67,4.52,43.82,0.46,11.11,0.66,1.58,7.17,72.34,0,,0,,0,0,0,0,,,0.2,,
Alvaro de Oliveira,Al Bataeh,Al Bataeh,"LW, LAMF, CF",24,1424,4,5.45,0,0.19,Brazil,3.35,3.16,48,2.72,48.84,0.13,0.18,0.13,1.71,2.42,1.14,9,0.57,0,0,2.34,0.25,3,0.19,0.34,0,0,39,2.46,41.03,10.256,0,1.14,16.67,2.46,41.03,6.95,34.55,2.65,0.95,0.57,11.69,1.2,0.7,15.8,68.8,3.92,61.29,4.3,89.71,3.92,59.68,1.14,33.33,18.64,24.19,0.01,0.25,0.13,0,0.13,100,0.06,2.15,58.82,1.26,40,0.19,33.33,0.32,0.19,2.28,69.44,0,,0,,0,0,0,0,,,0,,
Khaled Ebraheim,Al Sharjah,Al Sharjah,RB,28,1783,1,0.44,3,1.77,United Arab Emirates,7.77,7.98,59.49,1.72,61.76,0.25,0.39,0.25,2.78,4.32,1.51,6,0.3,0,0,1.46,0.05,1,0.05,0.02,1,0.05,11,0.56,9.09,9.091,0.15,1.97,20.51,1.31,69.23,3.58,52.11,0.96,1.36,0.2,23.17,2.37,0.81,33.42,79,11.41,73.45,6.71,92.48,8.38,72.89,3.03,50,16.97,32.04,0.09,0.66,0,0,0.15,66.67,0.4,3.84,71.05,2.47,38.78,0.35,28.57,0.61,0.56,7.12,69.5,0,,0,,0,0,0,0,,,0.2,,
