Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Fabinho,Al Ittihad,Al Ittihad,LDMF,31,3295,2,1.71,1,0.26,Brazil,7.95,5.63,60.68,1.31,50,0.3,0.45,0.33,4.23,6.37,1.17,8,0.22,0,0,0.6,0.05,2,0.05,0.05,1,0.03,13,0.36,46.15,15.385,0.03,0.25,22.22,0.49,66.67,2.76,53.47,0.41,0.44,0,42.61,0.3,0.87,55.04,92.61,15.84,85.86,7.1,98.08,23.63,95.61,3.39,66.13,17.63,38.27,0.01,0.14,0,0.11,0.08,66.67,0.08,8.36,84.97,1.23,48.89,0.52,26.32,0.6,0.03,6.64,82.72,0,,0,,0,0,0,0,,,0.68,,
W. Troost-Ekong,Al Kholood,Al Kholood,RCB,32,3291,2,2.47,1,0.27,Netherlands,8.45,4.48,69.51,2.76,53.47,0.08,0.1,0.77,5.25,6.47,0.52,2,0.05,0,0,0.22,0.05,1,0.03,0.07,1,0.03,17,0.46,17.65,11.765,0.03,0.03,100,0.19,57.14,0.57,42.86,0.49,0.3,0.03,14.66,0.11,0.08,25.71,84.15,11.73,72.49,1.37,98,11.13,94.84,4.7,50,24.12,41,0.01,0.08,0,0,0.03,0,0.05,3.61,59.09,0.22,37.5,0.3,36.36,0.11,0.03,5.33,64.1,0,,0,,0,0,0,0,,,1.15,,
Mansour Hamzi,Al Khaleej,Al Khaleej,"RDMF, RCMF, RB",33,3287,1,2.8,1,0.74,Saudi Arabia,8.19,6.63,62.4,1.62,35.59,0.27,0.36,0.25,3.78,5.02,0.49,2,0.05,0,0,1.26,0.03,1,0.03,0.08,0,0,19,0.52,36.84,5.263,0.03,1.37,40,0.74,66.67,4.41,54.04,0.93,0.96,0.27,22.56,1.12,1.89,33.16,83.32,10.49,73.37,5.37,93.37,11.83,87.04,3.61,60.61,18.26,37.4,0.02,0.19,0.03,0.08,0.03,100,0.11,4.82,76.14,1.45,43.4,0.22,50,0.25,0.57,4.68,70.18,0,,0,,0,0,0,0,,,0.38,,
Roger Ibañez,Al Ahli,Al Ahli,LCB,26,3286,5,3.51,1,0.3,Brazil,8.65,5.48,68,3.97,57.93,0.36,0.57,0.27,4.57,7.38,1.42,8,0.22,0,0,0.68,0.14,5,0.14,0.1,3,0.08,18,0.49,44.44,27.778,0.03,0.11,50,0.79,51.72,2.82,47.57,0.66,2.05,0.27,32.1,0.47,1.04,47.6,85.96,21.64,77.22,2.22,98.77,19.97,93.96,5.81,44.34,21.97,44.14,0.01,0.16,0.05,0,0.14,0,0.05,8.9,61.85,1.34,28.57,1.15,16.67,0.33,0.05,9.67,78.19,0,,0,,0,0,0,0,,,1.56,,
G. Coucke,Sampdoria,Al Orubah,GK,26,3284,0,0,0,0,Belgium,1.81,0.16,50,0.25,100,0.03,0.03,0,1.7,1.93,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0.16,0.03,14.55,80.6,8.3,69.97,0,0,5.56,95.57,5.81,57.55,33.86,49.5,0,0,0,0,0,0,0,1.45,35.85,0.14,0,0.08,0,0,0,4.11,64.67,68,1.86,176,4.82,5,61.36,58.39,1.6,-9.61,-0.263,0,1.37,0.25
Y. Bounou,Al Hilal,Al Hilal,GK,34,3276,0,0,0,0,Canada,1.73,0.14,60,0.16,66.67,0,0,0,1.65,2.93,0.03,2,0.05,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.11,75,0,0,0,12.69,0.3,0.03,18.54,91.85,8.49,84.79,0,0,9.34,98.24,4.42,72.67,27.81,45.34,0,0,0,0,0,0,0,0.8,48.28,0.08,0,0.14,40,0,0,3.41,74.19,41,1.13,94,2.58,9,56.38,31.71,0.87,-9.29,-0.255,0,0.69,0.16
F. Niţă,,Dhamk,GK,38,3261,0,0,0,0,Romania,1.55,0.19,71.43,0.25,77.78,0,0,0,1.41,1.81,0,3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,100,0,0,0,9.66,0.28,0.11,15.84,79.97,9.55,69.65,0,0,5.74,95.67,6.71,56.79,35.27,49.29,0,0,0,0,0,0,0,1.68,27.87,0.14,20,0.08,33.33,0.03,0,4,66.9,46,1.27,154,4.25,7,70.13,43.81,1.21,-2.19,-0.06,0,1.49,0.25
Tozé,Al Riyadh,Al Riyadh,"LCMF, RCMF",32,3255,5,3.79,2,4.18,Portugal,5.09,4.89,59.89,0.94,29.41,0.25,0.31,0.06,1.91,2.37,1.13,6,0.17,0,0,1.88,0.14,5,0.14,0.1,0,0,56,1.55,41.07,8.929,0.06,1.58,33.33,1.19,55.81,5.06,42.08,1.41,1.44,0.19,25.71,1.05,1,35.75,85.23,11.89,77.67,6.47,97.86,11.23,86.21,2.57,55.91,18.2,33.79,0.12,0.91,0.11,0.06,0.06,100,0.28,5.86,77.83,1.88,57.35,0.19,71.43,0.58,0.58,5.86,75.94,0,,0,,0,0,0,0,,,0.3,,
M. Maolida,Al Kholood,Al Kholood,"LAMF, LW, LWF",26,3250,15,14.22,0,3.84,France,4.38,2.74,60.61,1.11,20,0.17,0.2,0.08,2.55,3.1,0.53,1,0.03,0,0,5.32,0.42,12,0.33,0.39,0,0,103,2.85,50.49,14.563,0,0.94,44.12,6.78,50.2,13.43,37.94,3.79,3.82,0.47,16.26,1.44,0.61,21.99,85.26,4.46,77.64,5.82,94.76,6.2,81.7,0.53,57.89,14.41,14.06,0.11,1.14,0,0.08,0.17,33.33,0.44,1.27,84.78,1.44,71.15,0.19,28.57,1.38,0.44,2.91,80,0,,0,,0,0,0,0,,,0,,
S. Mané,Al Nassr,Al Nassr,"LAMF, LW, AMF",33,3244,14,14.29,11,5.98,Senegal,4.97,4.02,60,2.41,40.23,0.31,0.54,0.11,2.25,3.98,1.03,4,0.11,0,0,4.66,0.39,12,0.33,0.4,1,0.03,83,2.3,42.17,16.867,0.31,2.94,32.08,5.13,50.81,11.49,43.24,4.58,2.36,0.22,23.44,1.89,2.05,29.21,77.68,7.49,68.15,6.24,94.22,9.04,75.46,1.05,60.53,17.46,22.56,0.17,1.19,0.06,0,0.22,62.5,0.72,2.61,70.21,3.41,52.03,0.33,41.67,1.41,0.92,4.19,81.46,0,,0,,0,0,0,0,,,0.03,,
