Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
A. Diallo,Al Duhail,Al Arabi,"LCB, LB",29,2060,0,1.24,0,0.48,France,6.33,3.93,58.89,2.18,62,0.26,0.37,0.52,3.76,5.33,0.96,1,0.04,0,0,0.92,0,0,0,0.05,0,0,6,0.26,50,0,0,0.39,44.44,0.92,66.67,2.49,54.39,0.61,1.88,0.04,33.42,1.22,0.44,43.56,89.17,20.93,84.55,2.05,95.74,16.12,93.77,4.94,61.06,20.41,37.88,0.02,0.26,0,0.04,0.04,0,0,5.07,70.69,0.87,40,0.22,20,0.31,0.17,8.56,80.1,0,,0,,0,0,0,0,,,1.05,,
J. De Sart,Al Rayyan,Al Rayyan,"LCMF, RCMF, LDMF",30,1930,3,2.92,0,0.63,Belgium,10.26,6.85,62.59,2.24,41.67,0.56,0.81,0.42,5.41,7.82,1.31,5,0.23,1,0.05,0.98,0.14,3,0.14,0.14,0,0,26,1.21,42.31,11.538,0,0.28,33.33,0.47,60,2.15,41.3,0.75,0.65,0,28.87,0.09,0.75,40.52,87.11,13.38,78.4,4.24,94.51,17.67,92.61,5.22,63.39,21.31,42.43,0.03,0.33,0.19,0,0.14,66.67,0.19,8.07,75.72,0.84,50,0.33,57.14,0.37,0.14,7.88,74.56,0,,0,,0,0,0,0,,,0.65,,
F. Coman,Al Gharafa,Al Gharafa,"AMF, RW, LAMF",27,1072,3,3.31,2,3.16,Romania,3.78,3.61,58.14,2.01,50,0,0,0,1.68,2.54,0.84,1,0.08,0,0,5.21,0.25,3,0.25,0.28,0,0,32,2.69,43.75,9.375,0.17,3.02,36.11,5.63,52.24,11.59,42.75,2.77,2.85,0.25,16.54,1.93,1.68,23.09,72.73,5.71,63.24,4.53,88.89,8.65,71.84,1.26,60,16.97,34.72,0.27,1.93,0,0,0.25,0,0.5,2.01,66.67,3.53,40.48,0.34,25,1.09,0.92,2.94,77.14,0,,0,,0,0,0,0,,,0,,
Gabriel Pereira,Al Rayyan,Al Rayyan,"RW, RAMF",24,1042,1,2,0,1.72,Brazil,3.71,2.85,69.7,1.55,38.89,0,0,0.09,1.73,2.46,0.69,1,0.09,0,0,4.32,0.09,1,0.09,0.17,0,0,17,1.47,52.94,5.882,0,1.73,40,4.49,61.54,12.18,46.1,3.02,4.06,0.6,20.47,1.9,2.68,27.81,77.95,6.13,61.97,7.08,96.34,7.86,70.33,1.9,31.82,15.85,26.26,0.15,1.55,0.09,0.09,0.17,50,0.52,1.81,47.62,3.2,43.24,1.04,25,1.38,0.6,3.37,76.92,0,,0,,0,0,0,0,,,0,,
I. Bamba,Al Duhail,Al Duhail,"LCB, RB",23,1944,0,0.2,0,0.03,Italy,8.56,6.48,68.57,1.57,38.24,0.23,0.32,0.19,3.89,5.33,1.06,4,0.19,1,0.05,0.79,0,0,0,0.01,0,0,7,0.32,28.57,0,0,0.46,20,0.83,72.22,3.06,57.58,0.19,1.06,0.09,35.09,0.42,1.25,47.87,90.33,18.7,82.92,4.4,97.89,19.49,96.67,4.03,63.22,20.56,40.85,0,0.09,0.09,0.09,0,0,0,4.35,78.72,0.6,23.08,0.05,0,0.14,0.05,6.48,70,0,,0,,0,0,0,0,,,1.85,,
Lucas Veríssimo,Al Wakrah,Al Duhail,RCB,30,2108,3,2.83,0,0.02,Brazil,5.68,3.97,64.52,3.76,54.55,0.04,0.06,0.3,3.07,4.37,0.98,5,0.21,0,0,0.47,0.13,3,0.13,0.12,2,0.09,15,0.64,53.33,20,0,0.04,100,0.21,40,0.85,35,0.85,0.3,0,31.68,0.47,0.3,42.87,92.13,19.26,87.36,1.45,91.18,18.06,96.93,2.69,60.32,18.82,36.15,0,0.09,0.04,0,0,0,0,2.65,74.19,0.21,60,0.04,0,0.13,0.04,6.53,69.93,0,,0,,0,0,0,0,,,0.98,,
Cristo González,Umm Salal,Al Sadd,"AMF, RAMF, CF",27,723,3,2.05,3,1.63,Spain,4.73,3.98,53.13,0.75,50,0.12,0.19,0.12,2.49,3.9,0.75,0,0,0,0,3.11,0.37,3,0.37,0.26,0,0,16,1.99,43.75,18.75,0.37,1.12,44.44,1.99,50,5.98,37.5,2.86,1.37,0.25,19.92,1.74,0.87,26.76,79.07,7.1,80.7,6.1,81.63,8.59,76.81,1.74,71.43,16.92,26.66,0.2,1.74,0,0.12,1,75,1.12,3.73,90,3.24,57.69,1.12,77.78,1.87,0.5,5.23,85.71,0,,0,,0,0,0,0,,,0.12,,
Akram Afif,Al Sadd,Al Sadd,"LAMF, CF",29,2081,18,12.54,13,8.9,Qatar,1.6,1.77,60.98,0.52,41.67,0.04,0.07,0,0.48,0.76,0.48,1,0.04,0,0,4.67,0.78,12,0.52,0.54,0,0,60,2.59,51.67,30,0.56,2.34,38.89,3.24,54.67,7.53,51.15,3.98,3.76,0.61,37.45,2.51,1.82,43.46,82.29,13.36,70.87,8.39,97.94,15.74,85.44,4.28,68.69,20.47,41,0.39,2.59,0.26,0.17,1.12,57.69,1.3,6.96,68.94,5.71,65.15,1.51,51.43,3.98,0.91,9.21,93.43,0,,0,,0,0,0,0,,,0.26,,
A. Bareiro,Fortaleza,Al Rayyan,CF,29,839,3,2.57,0,0.57,Paraguay,5.04,4.08,60.53,5.9,32.73,0.43,0.68,0,2.15,3.41,3.11,1,0.11,0,0,0.97,0.32,3,0.32,0.28,1,0.11,11,1.18,54.55,27.273,0,0.21,50,0.54,40,5.36,32,2.25,0.43,0.11,10.62,2.04,1.29,17.59,75.61,3.43,65.63,3.43,93.75,5.79,68.52,1.72,56.25,16.49,30.98,0.06,0.97,0,0,0,0,0.21,1.5,71.43,0.75,28.57,0.21,50,0.43,0,1.29,75,0,,0,,0,0,0,0,,,0,,
A. Laïdouni,Al Wakrah,Al Wakrah,"LDMF, LCMF, RDMF",28,2130,2,0.97,1,0.71,France,7.77,6.3,61.07,1.14,59.26,0.3,0.42,0.38,3.63,5.19,1.35,4,0.17,0,0,1.48,0.08,2,0.08,0.04,0,0,14,0.59,42.86,14.286,0.04,1.18,32.14,1.39,54.55,4.65,49.09,0.85,1.14,0,33.46,0.38,1.48,46.48,88.55,15.51,82.56,7.23,96.49,16.99,90.8,3.93,65.59,19.4,36.09,0.03,0.68,0,0,0.21,40,0.21,8.7,81.07,1.99,48.94,0.55,38.46,0.76,0.38,8.11,82.29,0,,0,,0,0,0,0,,,0.72,,
