Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Metinho,Basel,Basel,"LDMF, LCMF, RDMF",22,750,0,0.88,1,0.63,Congo DR,11.04,7.56,71.43,1.92,37.5,0.48,0.68,0.36,5.16,7.29,1.08,2,0.24,0,0,0.96,0,0,0,0.11,0,0,5,0.6,0,0,0.12,0.12,0,0.84,100,6.12,45.1,0.6,1.32,0.24,27.36,0,1.44,45,86.67,14.28,73.11,7.44,91.94,17.28,93.75,3,52,17.36,32.3,0.08,0.84,0,0.12,0.12,100,0.12,5.76,79.17,2.04,47.06,0.48,50,1.08,0,8.28,78.26,0,,0,,0,0,0,0,,,0.24,,
A. Virginius,Young Boys,Young Boys,"LW, CF, RAMF",22,1621,2,4.49,3,2.85,France,5.22,5.44,52.04,1.5,29.63,0,0,0.06,2.39,3.45,1.5,2,0.11,0,0,3.83,0.11,2,0.11,0.25,0,0,27,1.5,44.44,7.407,0.17,2.05,29.73,4.83,50.57,8.55,38.96,4.61,2.28,0.5,17.27,2.17,0.78,21.71,72.63,4.16,57.33,6.16,90.99,5.83,79.05,0.72,61.54,17.19,11.97,0.16,1.11,0.22,0,0.17,66.67,0.61,1.33,62.5,1.72,64.52,0.22,50,1.33,0.5,3.16,75.44,0,,0,,0,0,0,0,,,0.28,,
A. Bernede,Hellas Verona,Lausanne Sport,"LCMF, LDMF",26,1067,1,2.64,0,0.25,France,7.42,5.48,69.23,1.43,41.18,0.42,0.6,0.17,3.21,4.58,0.76,4,0.34,0,0,4.13,0.08,1,0.08,0.22,0,0,25,2.11,36,4,0,1.35,25,4.47,58.49,11.13,43.94,2.61,3.8,0.67,33.91,0.59,0.93,48.5,83.48,18.56,80.91,7.25,91.86,12.99,83.77,3.04,58.33,16.34,31.34,0.02,0.34,0,0.17,0.42,100,0.08,8.52,82.18,3.37,62.5,0.42,100,1.6,0.34,8.6,89.22,0,,0,,0,0,0,0,,,0.08,,
D. Lembikisa,Wolverhampton Wanderers U21,Yverdon Sport,"RW, RWB",21,151,0,0.34,0,0,England,6.56,4.17,71.43,1.19,50,0,0,0,3.58,4.19,0,0,0,0,0,1.19,0,0,0,0.21,0,0,2,1.19,0,0,0,0.6,0,1.19,50,3.58,16.67,0.6,0,0,16.69,1.19,0,22.65,73.68,9.54,62.5,4.17,85.71,4.17,71.43,4.77,50,20.95,29.43,0,0,0,0,0.6,100,0,3.58,66.67,0.6,0,0.6,100,0,0.6,5.36,55.56,0,,0,,0,0,0,0,,,0,,
A. Hajdari,Hoffenheim,Lugano,LCB,22,2564,1,1.81,0,0.96,Switzerland,11.41,6.49,69.73,3.44,64.29,0.88,1.4,0.91,6,9.59,1.09,10,0.35,0,0,0.49,0.04,1,0.04,0.06,0,0,15,0.53,20,6.667,0,0.39,45.45,0.28,75,1.47,59.52,0.63,0.53,0,36.86,0.35,1.16,50.93,86.42,21.41,73.61,3.3,95.74,22.11,96.19,7.27,46.86,21.76,41.19,0.03,0.25,0.04,0.04,0.04,0,0.07,7.62,59.91,1.51,37.21,0.88,32,0.39,0.21,8.95,70.59,0,,0,,0,0,0,0,,,2.07,,
A. Saipi,Lugano,Lugano,GK,25,3259,0,0,0,0,Switzerland,1.08,0.17,33.33,0.3,100,0.03,0.04,0,0.99,1.59,0.08,3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.94,0.41,0.03,34.66,89,19.8,82.71,0.03,0,13.7,97.58,11.05,71.25,28.67,44.48,0,0,0,0.03,0,0,0,1.41,49.02,0.14,20,0.22,25,0.03,0,7.95,68.4,47,1.3,151,4.17,5,68.87,45.37,1.25,-1.63,-0.045,0,1.27,0.3
M. Łęgowski,Eyüpspor,Yverdon Sport,"DMF, RCMF",22,2531,1,0.89,1,1.47,Poland,9.1,7.36,64.73,2.1,42.37,0.07,0.09,0.32,4.27,5.28,1.1,7,0.25,0,0,1.1,0.04,1,0.04,0.03,0,0,14,0.5,28.57,7.143,0.04,0.82,26.09,1.03,65.52,6.72,38.62,0.5,1.24,0.07,19.49,0.36,0.92,34.03,77.85,12.84,66.2,5.9,92.77,9.32,83.59,2.35,50,16.83,24.25,0.05,0.6,0,0.07,0.25,28.57,0.18,5.16,68.28,1.81,54.9,0.43,16.67,0.89,0.25,5.73,65.84,0,,0,,0,0,0,0,,,0.39,,
K. Koindredi,Basel,Lausanne Sport,"LCMF, RCMF, LDMF",24,2138,1,1.1,2,4.82,Djibouti,8.12,5.81,66.67,2.74,58.46,0.59,0.79,0.08,3.66,4.92,1.22,7,0.29,0,0,2.57,0.04,1,0.04,0.05,0,0,30,1.26,26.67,3.333,0.08,1.18,28.57,3.12,55.41,9.64,44.1,1.14,1.94,0.13,21.76,0.59,1.18,34.14,84.96,10.9,75.29,7.37,93.71,8.88,87.68,3.12,52.7,18.01,25.44,0.2,1.73,0.04,0,0.21,80,0.17,5.35,74.02,2.36,57.14,0.38,55.56,1.09,0.38,5.26,80.8,0,,0,,0,0,0,0,,,0.34,,
J. Mendes,Samsunspor,Basel,RB,22,2200,1,0.96,0,2.44,Sweden,8.55,6.83,61.68,2.45,45,0.53,0.73,0.57,3.8,5.2,0.98,8,0.33,0,0,3.27,0.04,1,0.04,0.04,0,0,9,0.37,33.33,11.111,0,3.64,40.45,2.45,68.33,5.48,48.51,1.23,3.6,0.65,28.06,1.55,0.86,39.76,83.95,12.35,79.47,8.96,94.06,11.25,81.82,2.33,56.14,17.02,21.35,0.1,0.94,0.12,0,0.04,0,0.57,4.01,74.49,3.31,46.91,0.12,0,0.33,1.39,6.38,76.92,0,,0,,0,0,0,0,,,0.65,,
D. Maleš,Young Boys,Young Boys,"RW, RAMF, RCMF",24,1690,6,4.62,4,5.27,Switzerland,4.47,5.01,50,0.96,61.11,0,0,0.21,1.97,2.83,1.44,3,0.16,0,0,4.15,0.32,6,0.32,0.25,0,0,37,1.97,48.65,16.216,0.21,3.51,36.36,3.3,53.23,6.82,46.88,3.73,2.08,0.53,20.5,1.33,1.44,27.43,73.98,6.87,62.79,5.38,93.07,10.76,77.23,2.5,53.19,19.44,23,0.28,1.65,0.05,0,0.32,50,0.8,3.3,56.45,3.67,53.62,0.59,36.36,1.44,1.44,5.01,80.85,0,,0,,0,0,0,0,,,0.21,,
L. Łakomy,OH Leuven,Young Boys,"LCMF, LDMF, RCMF",24,1565,0,1.6,0,1.81,Poland,8.8,6.44,59.82,2.01,40,0.4,0.59,0.29,4.54,6.66,1.32,3,0.17,0,0,2.19,0,0,0,0.09,0,0,35,2.01,37.14,0,0,1.67,34.48,1.09,68.42,4.43,46.75,0.92,1.09,0,31,0.46,0.92,46.29,82.24,17.08,72.05,5.69,95.96,18.06,86.94,7.3,58.27,20.45,36.21,0.1,1.44,0.06,0,0.17,66.67,0.12,10.52,72.68,3.05,50.94,0.69,50,1.15,0.58,9.89,85.47,0,,0,,0,0,0,0,,,0.92,,
J. Nsamé,Legia Warszawa,St. Gallen,CF,32,652,2,2.87,1,0.47,Cameroon,1.93,2.07,46.67,6.07,50,0,0,0.14,0.97,1.45,1.1,1,0.14,0,0,2.07,0.28,2,0.28,0.4,0,0,15,2.07,26.67,13.333,0.14,1.79,7.69,1.79,69.23,7.87,33.33,3.45,1.52,0,14.91,2.9,0.55,19.74,63.64,4.56,51.52,3.87,71.43,6.07,68.18,0.83,50,16.07,15.33,0.06,0.83,0,0,0.14,100,0.28,2.07,46.67,1.93,35.71,0,0,0.83,0.28,1.52,81.82,0,,0,,0,0,0,0,,,0,,
J. Gbamin,Metz,Zürich,"DMF, LCB, RCB",29,1329,1,1.5,0,0.01,Côte d'Ivoire,9.35,6.43,81.05,2.71,75,0,0,0.34,4.13,7.29,0.54,0,0,0,0,1.02,0.07,1,0.07,0.1,0,0,8,0.54,37.5,12.5,0,0.2,33.33,0.95,64.29,4.06,28.33,0.27,1.42,0.2,33.52,0.41,0.27,52.82,87.05,20.65,79.67,5.89,95.4,18.89,91.04,5.89,48.28,19.42,44.69,0,0.27,0.07,0,0.2,66.67,0,8.94,71.97,1.22,22.22,0.74,9.09,0.14,0.07,9.62,77.46,0,,0,,0,0,0,0,,,2.78,,
J. Gauto,Basel,Basel,RWB,21,29,0,0,0,0,Argentina,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,15.07,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,
Y. Cimignani,Lugano,Lugano,"LWB, RAMF, LAMF",23,1722,3,2.83,4,4.05,France,4.91,4.65,53.93,2.61,44,0.31,0.5,0.05,2.09,3.36,1.05,5,0.26,0,0,4.65,0.16,3,0.16,0.15,1,0.05,39,2.04,41.03,7.692,0.21,3.14,33.33,4.55,57.47,10.98,37.62,2.51,2.04,0.21,27.23,2.87,1.2,37.68,78.36,10.98,64.29,7.47,93.01,12.49,79.92,3.14,55,18.42,29.94,0.21,1.41,0,0,0.31,50,0.52,4.49,69.77,3.71,43.66,0.63,41.67,0.99,0.94,6.85,72.52,0,,0,,0,0,0,0,,,0.21,,
L. Mai,Lugano,Lugano,"RCB, CB",25,2263,0,1.05,0,0.29,Germany,9.47,7.08,70.22,5.05,70.08,0.24,0.38,0.56,4.26,6.82,0.76,7,0.28,0,0,0.32,0,0,0,0.04,0,0,5,0.2,40,0,0,0.04,0,0.32,75,1.19,56.67,0.32,0.52,0,34.84,0.4,0.44,52.3,89.51,20.6,81.27,4.26,98.13,23.27,95.38,4.33,54.13,19.6,31.68,0.01,0.04,0,0,0,0,0,4.14,72.12,0.24,50,0.4,30,0.24,0,9.03,65.2,0,,0,,0,0,0,0,,,3.22,,
