Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Fernando Varela,,Alverca,"RCB, CB, LCB",37,3122,3,3.22,1,0.19,Portugal,6.08,2.45,72.94,3.72,58.14,0.03,0.04,0.92,4.27,5.83,0.55,1,0.03,1,0.03,0.29,0.09,3,0.09,0.09,0,0,12,0.35,50,25,0.03,0.06,100,0.09,66.67,0.61,52.38,0.52,0,0,31.39,0.29,0.35,43.04,91.16,15.54,81.08,1.5,100,22.17,97.14,4.24,49.66,19.91,36.92,0.01,0.03,0.03,0.03,0.03,0,0.06,3.08,67.29,0.37,38.46,0.35,50,0.12,0.06,5.82,67.33,0,,0,,0,0,0,0,,,1.27,,
André Gomes,Alverca,Benfica II,GK,20,3105,0,0,1,0.34,Portugal,1.48,0,0,0.61,100,0.03,0.04,0,1.45,2.23,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0,0,0,16.38,0.2,0.12,24.23,80.98,13.07,68.96,0,0,10.17,95.44,8.75,56.62,34.09,53.05,0.01,0.03,0,0,0,0,0.03,3.33,42.61,0.32,27.27,0.32,27.27,0.06,0,6.38,67.27,37,1.07,134,3.88,10,72.39,36.91,1.07,-0.09,-0.003,0,2.09,0.61
Gonçalo Tabuaço,Marítimo,Marítimo,GK,24,3083,0,0,0,0.24,Portugal,1.63,0.06,100,0.7,87.5,0,0,0,1.58,2.41,0.03,5,0.15,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.09,100,0,0,0,11.59,0.23,0.18,18.48,78.83,11.18,68.41,0.03,100,6.98,95.4,8.9,59.67,36.19,50.68,0.01,0.06,0,0,0,0,0.06,3.39,59.48,0.41,28.57,0.26,44.44,0.12,0,6.16,74.41,42,1.23,130,3.8,8,67.69,34.69,1.01,-7.31,-0.213,0,1.96,0.7
M. Fraisl,Mafra,Mafra,GK,32,3079,0,0,0,0.03,Austria,1.55,0.06,100,0.35,83.33,0,0,0,1.49,2.21,0.03,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,12.22,0.29,0.09,19.12,83.33,10.79,72.63,0,0,7.72,97.35,7.98,63.74,33.67,50.1,0,0.03,0,0,0,0,0,2.54,57.47,0.06,0,0.09,100,0,0,5.96,81.37,50,1.46,126,3.68,8,60.32,41.67,1.22,-8.33,-0.243,0,1.4,0.35
H. Sylla,União de Leiria,União de Leiria,RB,26,3074,1,0.26,1,2.35,Côte d'Ivoire,8.29,6.35,64.98,2.72,41.94,0.29,0.42,0.18,3.86,5.6,1.49,8,0.23,0,0,1.9,0.03,1,0.03,0.01,0,0,10,0.29,20,10,0.03,2.96,21.78,2.05,55.71,5.86,40,0.47,1.55,0.32,24.89,1.61,0.7,35.48,77.48,13.29,72.03,6.18,94.31,11.56,77.22,4.16,53.52,21.59,39.78,0.07,0.59,0.06,0.06,0.06,100,0.29,4.8,62.2,3.07,29.52,0.59,55,0.41,0.67,7.79,72.18,0,,0,,0,0,0,0,,,1.05,,
Gustavo Marques,Red Bull Bragantino,Benfica II,RCB,23,3042,1,2.4,0,0.65,Brazil,7.72,4.05,64.96,5.89,62.81,0.03,0.04,0.71,5.06,7.67,0.83,3,0.09,0,0,0.21,0.03,1,0.03,0.07,1,0.03,17,0.5,17.65,5.882,0,0.12,25,0.06,100,1.07,44.44,0.62,1.09,0,35.09,0.53,0.8,48.64,87.53,18.91,75.12,3.49,98.31,22.54,96.06,6.33,48.13,23.88,46.41,0.02,0.18,0,0,0.06,50,0.12,7.46,63.1,1.04,25.71,0.65,50,0.3,0.06,9.17,76.13,0,,0,,0,0,0,0,,,2.78,,
Diogo Nascimento,Olympiacos Piraeus,Vizela,"LDMF, LCMF, DMF",22,3024,1,3.86,0,1.92,Portugal,5.63,5.71,55.21,1.46,36.73,0.12,0.21,0.09,2.35,4.12,1.52,8,0.24,0,0,1.93,0.03,1,0.03,0.11,0,0,48,1.43,27.08,2.083,0,0.71,33.33,2.2,55.41,8.48,41.75,0.92,1.13,0.45,38.87,0.51,2.14,52.38,89.49,14.79,79.48,11.85,96.23,17.65,93.59,3.15,59.43,17.7,31.13,0.06,0.74,0.06,0,0.33,27.27,0.18,7.14,77.5,2.05,65.22,0.51,41.18,1.22,0.21,7.32,77.24,0,,0,,0,0,0,0,,,1.52,,
C. Tassano,Remo,Feirense,"RCB, CB",29,2976,0,1.89,0,0.2,Uruguay,8.92,6.23,68.45,5.81,51.04,0.3,0.4,0.51,4.35,5.7,0.91,9,0.27,0,0,0.39,0,0,0,0.06,0,0,17,0.51,23.53,0,0,0.09,33.33,0.33,72.73,2.12,47.14,0.79,0.12,0.03,24.04,0.21,0.54,36.93,84.93,14.21,70.21,2.6,94.19,16.45,95.4,5.56,51.09,21.84,42.59,0.01,0.15,0,0,0,0,0,4.08,56.3,0.48,37.5,0.36,8.33,0.18,0.03,6.47,59.35,0,,0,,0,0,0,0,,,1.88,,
Filipe Almeida,Pyunik,Feirense,"LCB, RCB",28,2975,0,0.8,1,0.46,Portugal,8.8,5.14,71.18,3.3,55.96,0.21,0.27,0.57,4.93,6.37,0.64,8,0.24,0,0,0.3,0,0,0,0.02,0,0,6,0.18,50,0,0.03,0.24,50,0.21,42.86,0.97,50,0.54,0.88,0.09,28.23,0.24,0.39,43.17,83.95,21.09,76.18,2.03,94.03,16.46,93.57,6.63,57.08,21.28,34.3,0.01,0.15,0,0.03,0,0,0.06,5.08,70.83,0.3,70,0.09,33.33,0.15,0.09,10.44,65.51,0,,0,,0,0,0,0,,,1.39,,
Carraça,Chaves,Chaves,RB,32,2957,2,2.24,4,7.14,Portugal,7.3,5.84,55.73,2.01,43.94,0.33,0.49,0.18,3.71,5.38,0.88,5,0.15,0,0,2.59,0.06,1,0.03,0.07,0,0,40,1.22,27.5,5,0.12,4.23,34.53,1.16,57.89,4.08,46.27,0.67,1.07,0.15,25.78,2.77,1.34,35.06,78.73,13.15,75.46,4.87,91.25,11.78,78.29,3.17,52.88,19.01,33.68,0.22,1.83,0.03,0,0.12,100,0.49,3.77,73.39,3.5,44.35,0.18,83.33,0.49,1.43,8.67,72.63,0,,0,,0,0,0,0,,,0.43,,
