Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
J. Ocejo,Universidad Guadalajara,Universidad Guadalajara,CF,26,2756,24,16.51,4,1.46,Mexico,2.51,2.35,45.83,5.16,38.61,0.03,0.04,0.2,1.4,1.8,0.95,6,0.2,1,0.03,2.84,0.78,19,0.62,0.54,2,0.07,87,2.84,49.43,27.586,0.13,0.69,23.81,2.42,50,11.17,26.9,3.46,0.85,0.07,13.19,2.68,1.47,17.54,73.93,3.04,50.54,5.49,89.88,4.9,67.33,1.01,67.74,15.29,17.14,0.05,0.65,0.03,0,0.26,25,0.29,1.44,52.27,1.31,37.5,0.29,33.33,0.75,0.23,1.4,67.44,0,,0,,0,0,0,0,,,0,,
S. Zamora,Tapatío,Tapatío,LCMF,22,1942,5,1.95,2,1.24,Mexico,8.81,6.12,58.33,2.09,37.78,0.74,0.93,0.23,4.5,5.64,0.97,4,0.19,0,0,1.2,0.23,5,0.23,0.09,1,0.05,24,1.11,50,20.833,0.09,0.79,23.53,0.79,58.82,3.75,37.04,0.88,1.2,0.51,20.53,0.46,0.65,33.14,82.24,9.92,71.5,4.91,96.23,13.86,86.29,2.73,59.32,19.63,35.17,0.06,0.56,0.05,0,0.09,0,0.09,5.01,75.93,1.02,40.91,0.23,0,0.28,0.19,5.51,60.5,0,,0,,0,0,0,0,,,0.6,,
R. Gudiño,Venados,Venados,GK,29,1302,0,0,0,0,Mexico,1.45,0.07,0,0.48,100,0,0,0,1.45,1.81,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,8.57,0.21,0.21,16.66,78.01,11.34,68.9,0,0,4.84,98.57,6.98,50.5,35.88,51.59,0,0,0,0,0,0,0,1.59,34.78,0.21,0,0.21,33.33,0,0,5.53,65,14,0.97,58,4.01,2,75.86,13.8,0.95,-0.2,-0.014,0,1.18,0.48
L. Razo,Mineros de Zacatecas,Mineros de Zacatecas,CF,31,2098,10,8.21,4,2.27,Mexico,2.19,2.4,46.43,2.49,27.59,0,0,0.04,1.07,1.75,1.07,3,0.13,1,0.04,2.23,0.43,10,0.43,0.35,1,0.04,44,1.89,54.55,22.727,0.17,0.47,18.18,1.93,53.33,7.76,27.62,4.63,0.56,0.13,15.19,2.53,0.69,21.49,76.85,3.78,62.5,6.78,91.14,5.41,73.02,0.56,53.85,14.09,12.28,0.1,1.07,0.04,0,0.17,50,0.43,1.63,78.95,1.29,56.67,0.21,40,1.33,0.09,1.5,77.14,0,,0,,0,0,0,0,,,0.04,,
Y. Espinosa,Correcaminos UAT,Correcaminos UAT,"LW, RW, RAMF",25,1151,2,2.76,2,2.35,Mexico,5.24,3.99,56.86,4.54,32.76,0.23,0.3,0,2.74,3.47,0.55,1,0.08,0,0,5.47,0.16,2,0.16,0.22,1,0.08,26,2.03,65.38,7.692,0.16,4.22,38.89,4.14,60.38,10.71,35.77,1.95,2.27,0.39,26.04,2.81,1.02,34.8,74.83,9.62,69.92,8.21,90.48,9.7,67.74,1.95,52,17.66,18.34,0.18,1.33,0,0,0,0,0.7,4.22,70.37,4.54,46.55,0.31,75,0.63,1.8,6.8,73.56,0,,0,,0,0,0,0,,,0.16,,
H. Meza,Atlante,Atlante,DMF,24,1249,1,1.02,0,0.27,Mexico,7.78,6.56,62.64,1.01,21.43,0.14,0.21,0.14,3.53,5.09,1.3,2,0.14,0,0,0.79,0.07,1,0.07,0.07,0,0,17,1.22,17.65,5.882,0,0.22,33.33,0.5,85.71,1.95,44.44,0.58,0.5,0,34.52,0.36,0.29,46.33,88.49,13.98,74.74,3.82,98.11,23.92,95.48,6.41,66.29,20.91,35.29,0.02,0.29,0,0.07,0.14,50,0.07,8.29,75.65,0.86,50,0.43,50,0.43,0.07,7.13,84.85,0,,0,,0,0,0,0,,,1.15,,
J. Peralta,Dorados,Dorados,"RW, RB",28,2015,1,1.54,3,3.93,Mexico,5.23,4.51,57.43,1.47,54.55,0.04,0.05,0.13,2.59,2.97,0.76,2,0.09,0,0,2.1,0.04,1,0.04,0.07,0,0,15,0.67,46.67,6.667,0.13,2.19,36.73,1.56,62.86,6.3,34.04,1.79,1.3,0.31,18.49,1.38,1.16,26.62,76.01,9.25,68.12,5.27,94.92,7.5,69.05,2.19,53.06,17.45,26.03,0.18,1.03,0.04,0,0.18,0,0.36,3.93,61.36,2.68,40,0.31,14.29,0.8,0.76,4.56,80.39,0,,0,,0,0,0,0,,,0.22,,
J. Sánchez,Universidad Guadalajara,Universidad Guadalajara,LCB,31,2984,1,2.53,1,0.39,Mexico,7.54,5.34,72.88,3.29,50.46,0.09,0.12,0.33,3.56,4.72,0.78,8,0.24,0,0,0.21,0.03,1,0.03,0.08,1,0.03,18,0.54,33.33,5.556,0.03,0.06,50,0.06,0,0.84,35.71,0.81,1.36,0.06,26.33,0.3,0.45,39,84.53,16.77,72.84,2.71,97.78,16.56,94.17,7.12,54.24,24.74,41.4,0.01,0.09,0.03,0,0.03,0,0.09,6.15,58.33,0.54,22.22,0.45,33.33,0.12,0.03,8.78,75.6,0,,0,,0,0,0,0,,,2.14,,
H. Torres,CA La Paz,CA La Paz,"LCB, RCB",25,2005,4,3,0,0.11,Mexico,11.94,8.21,75.41,4.26,53.68,0.94,1.3,0.81,4.8,6.65,1.08,7,0.31,0,0,0.58,0.18,3,0.13,0.13,2,0.09,10,0.45,80,40,0,0.09,50,0.22,80,1.62,44.44,0.45,1.17,0.04,32.23,0.72,0.4,46.91,89,19.35,80.28,3.55,96.2,19.71,94.99,4.8,53.27,19.81,36.02,0,0.04,0.04,0,0.04,0,0,4.67,69.23,0.18,0,0.04,0,0.04,0.04,8.8,70.92,0,,0,,0,0,0,0,,,2.65,,
J. Rodríguez,,Venados,"LB, LWB",26,104,0,0,1,0.64,Mexico,12.12,5.19,50,6.06,57.14,2.6,3.91,0.87,6.92,10.43,0.87,1,0.87,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0.87,2.6,66.67,0,0,4.33,40,1.73,4.33,0,15.58,1.73,0,24.23,82.14,9.52,72.73,6.92,100,3.46,75,1.73,50,26.67,12.56,0.55,1.73,0,0,0,0,0.87,2.6,100,0.87,100,0,0,0,1.73,7.79,77.78,0,,0,,0,0,0,0,,,0.87,,
